PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,194167531,66644128,CCCCCCC1=C(C2=C(N1C)C=CC(=C2)Cl)C(=O)CC(C)CC(=O)O,Active,,,,0.016,IC50,=,16,nM,
2,312361325,49802026,CCCCCCC1=C(C2=C(N1C)C=CC(=C2)Cl)C(=O)C[C@@H](C)CC(=O)O,Active,,,,2.7,IC50,=,2700,nM,Potential transcription error
3,312361326,49778909,CCCCCCC1=C(C2=C(N1C)C=CC(=C2)Cl)C(=O)C[C@H](C)CC(=O)O,Active,,,,0.006,IC50,=,6,nM,
4,381846523,137638047,CCCCCCC1=C(C2=C(N1C)C=CC(=C2)Cl)C(=O)CC(C)(C)CC(=O)O,Active,,,,1.33,IC50,=,1330,nM,
5,381847803,137638887,CCCCCCC1=C(C2=C(N1C)C=CC(=C2)Cl)C(=O)C(C)(C)CCC(=O)O,Active,,,,8.15,IC50,=,8150,nM,
6,381850015,49802318,CCCCCCC1=C(C2=C(N1C)C=CC(=C2)Cl)C(=O)C3=CC(=CC=C3)C(=O)O,Active,,,,1.12,IC50,=,1120,nM,
7,381856714,137644937,CCCCCCC1=C(C2=C(N1C)C=CC(=C2)Cl)C(=O)C3=CC=C(C=C3)C(=O)O,Active,,,,1.36,IC50,=,1360,nM,
8,381857917,137645745,CCCCCCC1=C(C2=C(N1C)C=CC(=C2)Cl)C(=O)CC3(CC3)CC(=O)O,Active,,,,0.58,IC50,=,580,nM,
9,381860558,137647550,CCCCCCCCCCCC1=C(C2=C(N1C)C=CC(=C2)Cl)C(=O)CC(C)CC(=O)O,Active,,,,0.023,IC50,=,23,nM,
10,381872118,137655326,CCCCCCC1=C(C2=C(N1C)C=CC(=C2)Cl)C(=O)CC3(CCC3)CC(=O)O,Active,,,,0.72,IC50,=,720,nM,
11,381872703,137655720,CCCCCCC1=C(C2=C(N1C)C=CC(=C2)Cl)C(=O)COCC(=O)O,Active,,,,5.5,IC50,=,5500,nM,
12,381885010,137660364,CCCCCCC1=C(C2=C(N1C)C=CC(=C2)Cl)C(=O)CCC(C)(C)C(=O)O,Active,,,,4.06,IC50,=,4060,nM,
