PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,440113756,124189308,CN1C=C(C(=N1)OC(F)F)NC(=O)[C@@H]2CCCC[C@H]2C(=O)C3=CC=C(C=C3)C4=CC=NN4,Active,,,,0.1,IC50,=,100,nM,
2,440113756,124189308,CN1C=C(C(=N1)OC(F)F)NC(=O)[C@@H]2CCCC[C@H]2C(=O)C3=CC=C(C=C3)C4=CC=NN4,Unspecified,,,,,fpIC50,=,8.5,,
3,440117312,155515512,CC1=CN(N=C1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=CC=CC(=C4)C(=O)N,Active,,,,1.99526,IC50,=,1995.26,nM,
4,440117312,155515512,CC1=CN(N=C1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=CC=CC(=C4)C(=O)N,Unspecified,,,,,fpIC50,=,7.4,,
5,440118158,155516065,CC1=CC(=NN1)C2=CC(=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=CN(N=C4C(=O)N)C)F,Active,,,,0.15849,IC50,=,158.49,nM,
6,440118158,155516065,CC1=CC(=NN1)C2=CC(=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=CN(N=C4C(=O)N)C)F,Unspecified,,,,,fpIC50,=,8.3,,
7,440119523,155516998,CC1=C(NN=C1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=CN(N=C4C)C,Inconclusive,,,Potential missing data,,pIC50,,,,Not Determined
8,440119523,155516998,CC1=C(NN=C1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=CN(N=C4C)C,Inconclusive,,,Potential missing data,,fpIC50,,,,Not Determined
9,440127615,122678088,CC1=CC(=NN1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=CN(N=C4C(=O)N)C,Active,,,,0.19953,IC50,=,199.53,nM,
10,440127615,122678088,CC1=CC(=NN1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=CN(N=C4C(=O)N)C,Unspecified,,,,,fpIC50,=,7.9,,
11,440130600,155524126,CC1=NN(C=C1N(C)C(=O)[C@@H]2CCCC[C@H]2C(=O)C3=CC=C(C=C3)C4=CC=NN4)C,Active,,,,0.25119,IC50,=,251.19,nM,
12,440130600,155524126,CC1=NN(C=C1N(C)C(=O)[C@@H]2CCCC[C@H]2C(=O)C3=CC=C(C=C3)C4=CC=NN4)C,Unspecified,,,,,fpIC50,=,7.5,,
13,440132660,155525505,CC1=CC(=NN1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=CN(N=C4C(F)F)C,Active,,,,0.0631,IC50,=,63.1,nM,
14,440132660,155525505,CC1=CC(=NN1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=CN(N=C4C(F)F)C,Unspecified,,,,,fpIC50,=,8.5,,
15,440134558,155526726,CC1=NN(C=C1NC(=O)[C@H]2[C@@H](C3CCC2CC3)C(=O)C4=C(C=C(C=C4)C5=CC=NN5)F)C,Active,,,,0.19953,IC50,=,199.53,nM,
16,440134558,155526726,CC1=NN(C=C1NC(=O)[C@H]2[C@@H](C3CCC2CC3)C(=O)C4=C(C=C(C=C4)C5=CC=NN5)F)C,Unspecified,,,,,fpIC50,=,7.1,,
17,440139077,155529670,CN1C=C(C(=N1)C(F)(F)F)NC(=O)[C@@H]2CCCC[C@H]2C(=O)C3=CC=C(C=C3)C4=CC=NN4,Active,,,,0.05012,IC50,=,50.12,nM,
18,440139077,155529670,CN1C=C(C(=N1)C(F)(F)F)NC(=O)[C@@H]2CCCC[C@H]2C(=O)C3=CC=C(C=C3)C4=CC=NN4,Unspecified,,,,,fpIC50,=,8.5,,
19,440146246,155534427,CN1C=C(C(=N1)C(F)(F)F)NC(=O)[C@@H]2C[C@@H]3C[C@@H]3C[C@H]2C(=O)C4=CC=C(C=C4)C5=CC=NN5,Active,,,,0.02512,IC50,=,25.12,nM,
20,440146246,155534427,CN1C=C(C(=N1)C(F)(F)F)NC(=O)[C@@H]2C[C@@H]3C[C@@H]3C[C@H]2C(=O)C4=CC=C(C=C4)C5=CC=NN5,Unspecified,,,,,fpIC50,=,9,,
21,440148128,155535638,CC1=C(C(=NO1)C)NC(=O)[C@@H]2CCCC[C@H]2C(=O)C3=CC=C(C=C3)C4=CC=NN4,Active,,,,0.50119,IC50,=,501.19,nM,
22,440148128,155535638,CC1=C(C(=NO1)C)NC(=O)[C@@H]2CCCC[C@H]2C(=O)C3=CC=C(C=C3)C4=CC=NN4,Inconclusive,,,Potential missing data,,fpIC50,,,,Not Determined
23,440156515,155540219,C1CC[C@H]([C@@H](C1)C(=O)C2=CC=C(C=C2)C3=CC=NN3)C(=O)NCCC4=CC=CC=N4,Active,,,,2.51189,IC50,=,2511.89,nM,
24,440156515,155540219,C1CC[C@H]([C@@H](C1)C(=O)C2=CC=C(C=C2)C3=CC=NN3)C(=O)NCCC4=CC=CC=N4,Unspecified,,,,,fpIC50,=,6.7,,
25,440161865,155542504,CC1=NN(C=C1NC(=O)[C@H]2CCCC[C@@H]2C(=O)C3=CC=C(C=C3)C4=CC=NN4)C,Active,,,,7.94328,IC50,=,7943.28,nM,
26,440161865,155542504,CC1=NN(C=C1NC(=O)[C@H]2CCCC[C@@H]2C(=O)C3=CC=C(C=C3)C4=CC=NN4)C,Unspecified,,,,,fpIC50,=,5.8,,
