PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,163323424,71454753,CC1=C(C2=C(CC[C@@](O2)(C)CCCC(C)CCCC(C)CCCC(C)C(=O)O)C(=C1O)C)C,Active,,,,0.27,IC50,=,270,nM
2,194172962,73603963,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)O,Active,,,,0.15,IC50,=,150,nM
3,194179829,73603969,CC1=C(C=C2CC[C@@](OC2=C1C)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)O,Active,,,,0.11,IC50,=,110,nM
4,440139649,10455173,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C(=O)O)O,Active,,,,0.06,IC50,=,60,nM
5,461524290,162649877,CC1=CC(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C(=O)O)C)O,Active,,,,0.15,IC50,=,150,nM
6,461539763,162660777,CC1=C(C2=C(CC[C@@](O2)(C)CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C(=O)O)C(=C1O)C)C,Active,,,,0.4,IC50,=,400,nM
7,469799292,164609391,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C/C(=O)O)O,Active,,,,0.92,IC50,=,920,nM
8,469799970,164609879,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC(=O)O)O,Active,,,,0.47,IC50,=,470,nM
9,469799989,164609893,CC1=C(C=C2CC[C@@](OC2=C1C)(C)CC/C=C(\C)/CC/C=C(\C)/CC/C=C(/C)\C(=O)O)O,Active,,,,0.18,IC50,=,180,nM
10,469801512,164610999,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CCC=C(CO)CO)O,Active,,,,0.17,IC50,=,170,nM
11,469802056,164611393,CC1=CC(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)C=O)O,Active,,,,0.17,IC50,=,170,nM
12,469802990,126648083,CC1=C(C2=C(CC[C@@](O2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)C(=C1O)C)C,Active,,,,0.11,IC50,=,110,nM
13,469803202,164612221,CC1=CC(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)CN3CCCC3)O,Active,,,,0.17,IC50,=,170,nM
14,469803277,164612278,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCCC(C)C(=O)O)O,Active,,,,0.17,IC50,=,170,nM
15,469803831,164612696,CC1=CC2=C(C=C(C(=O)O2)C(=O)C)C3=C1O[C@](CC3)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO,Active,,,,0.21,IC50,=,210,nM
16,469803904,164612744,CC1=CC(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCCC(C)C(=O)O)C)O,Active,,,,0.81,IC50,=,810,nM
17,469804409,164613112,CC1=C2C(=C(C3=C1CC[C@@](O3)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)C)C=C(C(=O)O2)C(=O)C,Active,,,,0.63,IC50,=,630,nM
18,469805149,164613624,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CC/C=C/C(=O)O)O,Active,,,,0.44,IC50,=,440,nM
19,469805516,164613885,CC1=C2CC[C@@](OC2=C(C(=C1O)CO)C)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C3COC(OC3)C4=CC(=C(C=C4)OC)OC,Active,,,,0.09,IC50,=,90,nM
20,469805898,164614143,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)OC(=O)CCC(=O)O,Active,,,,0.09,IC50,=,90,nM
21,469806533,164614599,CC1=C(C(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C(=O)O)CN(C)C)O)CN(C)C,Unspecified,,,,1,IC50,>,1000,nM
22,469808160,164615788,CC1=CC(=CC2=C1O[C@](CC2)(C)CCCC(C)CCCC(C)CCCC(C)C(=O)O)O,Unspecified,,,,1,IC50,>,1000,nM
23,469809124,164616480,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C3COC(OC3)C4=CC(=C(C=C4)OC)OC)O,Active,,,,0.21,IC50,=,210,nM
24,469810550,53481452,CC1=C(C2=C(CC[C@@](O2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC(=O)O)C(=C1O)C)C,Active,,,,0.44,IC50,=,440,nM
25,469811165,164617967,CC1=C2CC[C@@](OC2=C(C(=C1O)C=O)C)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C3COC(OC3)C4=CC(=C(C=C4)OC)OC,Unspecified,,,,1,IC50,>,1000,nM
26,469811943,164618529,CC1=CC(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)CN3CCOCC3)O,Active,,,,0.12,IC50,=,120,nM
27,469812402,164618866,CC1=CC(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C(=O)OC)C(=O)OC)O,Unspecified,,,,1,IC50,>,1000,nM
28,469813388,164619582,CC1=C2CC[C@@](OC2=C(C(=C1O)C=O)C)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO,Active,,,,0.17,IC50,=,170,nM
29,469813557,164619695,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCCC(C)C(=O)O)OC,Unspecified,,,,1,IC50,>,1000,nM
30,469814014,164620012,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCCC(C)C(=O)OC)OC,Unspecified,,,,1,IC50,>,1000,nM
31,469815446,53481464,CC1=C(C=C2CC[C@@](OC2=C1C)(C)CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C(=O)O)O,Active,,,,0.3,IC50,=,300,nM
32,469817214,164622348,CC1=CC(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)CN3CCCCC3)O,Active,,,,0.11,IC50,=,110,nM
33,469818842,164623520,CC1=CC(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)CN(C)C)O,Active,,,,0.11,IC50,=,110,nM
34,469819130,126647958,CC1=CC(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)C)O,Active,,,,0.09,IC50,=,90,nM
35,469819264,164623831,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)OCC(=O)N,Unspecified,,,,1,IC50,>,1000,nM
36,469819582,164624068,CC1=CC(=CC2=C1O[C@](CC2)(C)CCCC(C)CCCC(C)CCCC(CO)CO)O,Unspecified,,,,1,IC50,>,1000,nM
37,469819661,164624129,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCCC(C)C(=O)OC)O,Active,,,,0.17,IC50,=,170,nM
38,469820778,164624912,CC1=CC(=CC2=C1O[C@](CC2)(C)CCC=C(CO)CO)O,Unspecified,,,,1,IC50,>,1000,nM
39,469823747,164626523,CC1=CC(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C3COC(OC3)C4=CC=C(C=C4)[N+](=O)[O-])CO)O,Active,,,,0.21,IC50,=,210,nM
40,469823975,164626681,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C3COC(OC3)C4=CC(=C(C=C4)OC)OC)OCCCC(=O)O,Unspecified,,,,1,IC50,>,1000,nM
41,469825179,164627248,CC1=CC(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C(=O)O)CN(C)C)O,Active,,,,0.07,IC50,=,70,nM
42,469826018,164627695,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CCC(C(C)(CCC=C(CO)CO)O)O)O,Active,,,,0.38,IC50,=,380,nM
43,469826520,164627963,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/C(=O)O)O,Unspecified,,,,1,IC50,>,1000,nM
44,469826674,164628070,CCOC(=O)C1=CC2=C(C=C(C3=C2CC[C@@](O3)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)C)OC1=O,Active,,,,0.47,IC50,=,470,nM
