PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103633624,44157483,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)CC4=CC=CC=C4Cl,Active,,,,0.301,IC50,=,301,nM,
2,103633690,44157829,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)C4=CC(=CC=C4)Cl,Active,,,,1.07,IC50,=,1070,nM,
3,103633749,44157555,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)C4=CC=C(C=C4)Cl,Active,,,,0.32,IC50,=,320,nM,
4,103709761,1079369,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)C,Active,,,,0.42,IC50,=,420,nM,
5,404696585,145979732,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)C4=CC=CC=C4Cl,Active,,,,0.24,IC50,=,240,nM,
6,404697318,145980212,CCOC(=O)C1=C(OC2=C1C=C(C3=CC=CC=C32)O)C4=CC=C(C=C4)Cl,Active,,,,3.74,IC50,=,3740,nM,
