PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103249914,3086671,C[C@H](C#CC1=CC=C(S1)CC2=CC=C(C=C2)F)N(C(=O)N)O,Active,,,,2.7,IC50,=,2700,nM,
2,103652939,1306384,CC1=CC(=C(C(=C1)C)S(=O)(=O)N2CCC(CC2)C(=O)NCC3=C(C=C(C=C3)Cl)Cl)C,Unspecified,,,,20,IC50,=,20000,nM,Potential transcription error
3,103653020,44591957,CC1=CC(=C(C(=C1)C)S(=O)(=O)N2CCC(CC2)C(=O)NCCC(C3=CC=CC=C3)C4=CC=CC=C4)C,Unspecified,,,,35,IC50,=,35000,nM,Potential transcription error
4,103683471,44475365,C1=CC(=CC=C1C(CCNC(=O)C2=CN=C(C=C2)OCC(F)(F)F)C3=CC=C(C=C3)F)F,Active,,,,5,IC50,=,5000,nM,Potential transcription error
5,160691384,70690881,CS(=O)(=O)C1=CC=C(C=C1)C(CCNC(=O)C2=CN=C(C=C2)C#N)C3=CC=C(C=C3)F,Active,,,,6,IC50,=,6000,nM,
