PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,103172204,60490,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,Active,,,,0.1,IC50,=,100,nM,,Potential transcription error
2,194182837,25187677,CC1(C=CC2=C(C=C(C=C2O1)/C=C/C3=CC=C(C=C3)O)O)C,Active,,,,2.4,IC50,=,2400,nM,,
3,440141416,25141098,CC(=CCC1=C(C(=C(C=C1O)O)CC=C(C)C)/C=C/C2=CC=C(C=C2)O)C,Active,,,,0.9,IC50,=,900,nM,,
4,440155776,155539896,CC(=CCC1=C(C(=C(C=C1O)O)CC=C(C)C)/C=C/C2=CC(=C(C=C2)OC)O)C,Active,,,,0.9,IC50,=,900,nM,,
5,440158505,132603679,CC(=CCC1=C(C2=C(C=C1O)OC(CC2)(C)C)/C=C/C3=CC(=C(C=C3)OC)O)C,Inactive,,,Potential missing data,,IC50,,,,Not Active,
6,440195089,132603681,CC(=CCC1=C(C(=C(C=C1O)O)CC=C(C)C)/C=C/C2=CC=C(C=C2)OC)C,Active,,,,1.1,IC50,=,1100,nM,,
