PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103172204,60490,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,Active,,,,0.66,IC50,=,660,nM,
2,103459707,39912,C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)O,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
3,103581259,44559530,CCCCCCCCCCCC1=CC(=O)C=C(C1=O)OC,Active,,,,0.34,IC50,=,340,nM,
4,103619274,84800,CCCCCC1=CC(=O)C=C(C1=O)OC,Active,,,,1.37,IC50,=,1370,nM,
5,440139798,10087379,CCCCCCCCCCCCCC1=CC(=O)C=C(C1=O)OC,Active,,,,1.05,IC50,=,1050,nM,
6,440193037,71345494,CCCCCCCCCCCCCCCC1=CC(=O)C=C(C1=O)OC,Active,,,,0.79,IC50,=,790,nM,
7,461517242,11735699,CCCCCC1=C(C(=CC=C1)OC)O,Active,,,,3.72,IC50,=,3720,nM,
8,461517892,4535821,COC1=C(C(=CC(=C1)O)Br)O,Active,,,,1.14,IC50,=,1140,nM,
9,461526812,162651610,CCCCCCCCCCCCCCCC1=C(C(=CC(=C1)O)OC)O,Active,,,,0.14,IC50,=,140,nM,
10,461527163,162651852,CCCCCC1=C(C(=CC(=C1)OC(=O)C)OC)OC(=O)C,Active,,,,1.09,IC50,=,1090,nM,
11,461528140,162652572,CC(=O)OC1C(=CC(=O)C=C1Br)OC,Active,,,,0.17,IC50,=,170,nM,
12,461536976,66553793,CCCCCCCCCCCCCC1=C(C(=CC(=C1)OC(=O)C)OC)OC(=O)C,Active,,,,1.02,IC50,=,1020,nM,
13,461538143,162659608,CCCCCCCCCCCC1=C(C(=CC(=C1)O)OC)O,Active,,,,0.28,IC50,=,280,nM,
14,461540245,162661111,CCCCCC1=CC(=O)C=C(C1=N)OC,Active,,,,1.01,IC50,=,1010,nM,
15,461542853,13703687,COC1=CC(=O)C=C(C1=O)Br,Active,,,,1.67,IC50,=,1670,nM,
16,461547268,169581,CCCCCC1=C(C(=CC(=C1)O)OC)O,Active,,,,0.94,IC50,=,940,nM,
17,461561166,162675779,CCCCCCCCCCCCCC1=C(C(=CC(=C1)O)OC)O,Active,,,,1.49,IC50,=,1490,nM,
