PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103172204,60490,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,Active,,,,0.59,IC50,=,590,nM
2,103611424,7075,C1=CC=C(C=C1)C2=CC(=C(C=C2)O)O,Active,,,,0.05,IC50,=,50,nM
3,504793590,57231029,C1=CC=C2C=C(C=CC2=C1)C3=CC(=C(C=C3)O)O,Active,,,,0.007,IC50,=,7,nM
4,504798007,172441956,C1=CC2C(C=C1)SC3=C(C=CC=C3S2)C4=CC(=C(C=C4)O)O,Active,,,,0.008,IC50,=,8,nM
5,504798464,102498799,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2C4=CC(=C(C=C4)O)O,Active,,,,0.01,IC50,=,10,nM
6,504801038,3014217,C1=CC(=CC=C1C2=CC(=C(C=C2)O)O)O,Active,,,,0.21,IC50,=,210,nM
7,504808722,172449359,CCOC1=C(C2=CC=CC=C2C=C1)C3=CC(=C(C=C3)O)O,Active,,,,0.01,IC50,=,10,nM
8,504815698,86178660,C1=CC(=CC(=C1)Cl)C2=CC(=C(C=C2)O)O,Active,,,,0.02,IC50,=,20,nM
9,504817368,108673,C1=CC(=CC=C1C2=CC(=C(C=C2)O)O)Cl,Active,,,,0.02,IC50,=,20,nM
10,504821299,172458081,C1=CC=C2C(=C1)C3=C(S2)C(=CC=C3)C4=CC(=C(C=C4)O)O,Active,,,,0.007,IC50,=,7,nM
11,504824893,101113341,C1=CC=C2C(=C1)C=C(O2)C3=CC(=C(C=C3)O)O,Active,,,,0.03,IC50,=,30,nM
12,504829863,172464012,C1=CC=C2C(=C1)C3=C(O2)C(=CC=C3)C4=CC(=C(C=C4)O)O,Active,,,,0.076,IC50,=,76,nM
13,504840331,172471342,C1COC2=C(O1)C=CC(=C2)C3=CC(=C(C=C3)O)O,Active,,,,0.04,IC50,=,40,nM
