PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103588114,44562490,C1=CC=C(C=C1)C2C(=C(C(=O)O2)O)C3=CC=C(C=C3)O,Unspecified,,,,300,IC50,>,300000,nM,Outside typical range
2,103588115,24886905,C1=CC(=CC=C1C2C(=C(C(=O)O2)O)C3=CC=C(C=C3)O)F,Unspecified,,,,300,IC50,>,300000,nM,Outside typical range
3,103588116,24886906,C1=CC=C(C=C1)COC2=CC=C(C=C2)C3C(=C(C(=O)O3)O)C4=CC=C(C=C4)O,Unspecified,,,,300,IC50,>,300000,nM,Outside typical range
4,103588171,24886907,C1=CC=C(C=C1)COC2=CC=C(C=C2)C3C(=C(C(=O)O3)O)C4=CC=C(C=C4)F,Unspecified,,,,300,IC50,>,300000,nM,Outside typical range
5,103588172,24886908,C1=CC=C(C=C1)COC2=CC(=CC(=C2)C3C(=C(C(=O)O3)O)C4=CC=C(C=C4)F)OCC5=CC=CC=C5,Unspecified,,,,30,IC50,=,30000,nM,
6,103588173,24886909,C1=CC=C(C=C1)COC2=C(C=C(C=C2)C3C(=C(C(=O)O3)O)C4=CC=C(C=C4)F)OCC5=CC=CC=C5,Active,,,,10,IC50,=,10000,nM,
7,103588174,24887172,C1=CC=C(C=C1)COC2=CC(=CC(=C2)C3C(=C(C(=O)O3)O)C4=CC=C(C=C4)O)OCC5=CC=CC=C5,Unspecified,,,,300,IC50,>,300000,nM,Outside typical range
8,103588234,24867132,C1=CC=C(C=C1)COC2=C(C=C(C=C2)C3C(=C(C(=O)O3)O)C4=CC=C(C=C4)O)OCC5=CC=CC=C5,Active,,,,1,IC50,=,1000,nM,
9,103588235,24867133,C1=CC(=CC=C1C2=C(C(=O)OC2C3=CC(=CC(=C3)O)O)O)O,Unspecified,,,,22,IC50,=,22000,nM,
10,103588236,24867131,C1=CC(=CC=C1C2=C(C(=O)OC2C3=CC(=C(C=C3)O)O)O)O,Active,,,,9.2,IC50,=,9200,nM,
11,103588237,24887173,C1=CC(=CC=C1C2C(=C(C(=O)O2)O)C3=CC=C(C=C3)O)O,Unspecified,,,,220,IC50,=,220000,nM,Outside typical range
12,103588238,24887174,C1=CC(=CC=C1C2C(=C(C(=O)O2)O)C3=CC=C(C=C3)F)O,Unspecified,,,,300,IC50,=,300000,nM,Outside typical range
13,103588239,24867161,C1=CC(=CC=C1C2=C(C(=O)OC2C3=CC(=CC(=C3)O)O)O)F,Unspecified,,,,92,IC50,=,92000,nM,
14,103588308,44562547,C1C(=C(C(=O)O1)O)C2=CC=C(C=C2)O,Active,,,,3.6,IC50,=,3600,nM,
