PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103323115,5281787,C1=CC=C(C=C1)CCOC(=O)/C=C/C2=CC(=C(C=C2)O)O,Unspecified,,,,29.1,IC50,=,29100,nM,
2,103369498,5909099,C1=CC=C(C=C1)CCOC(=O)/C=C/C2=C(C=CC(=C2)O)O,Unspecified,,,,99.6,IC50,=,99600,nM,
3,103369498,5909099,C1=CC=C(C=C1)CCOC(=O)/C=C/C2=C(C=CC(=C2)O)O,Unspecified,,,Potential missing data,,Activity,,,,Dose-dependent effect
4,103700185,704473,CC1=CC(=CC=C1)NC2=NC(=CS2)C3=CC=NC=C3,Active,,,,5.3,IC50,=,5300,nM,
5,440154873,137442385,C1=CC=C(C=C1)CCOC(=O)C2=C(C=CC(=C2)O)O,Unspecified,,,,100,IC50,>,100000,nM,
6,440218752,155565163,C1=CC=C(C=C1)CCC(=O)/C=C/C2=C(C=CC(=C2)O)O,Unspecified,,,,12.3,IC50,=,12300,nM,
