PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103464267,18786356,C1COCCC1(C2=CC(=CC=C2)SC3=CC=C(C=C3)CN4C=CC=C4)C(=O)N,Active,,,,0.27,IC50,=,270,nM
2,103464307,18786367,CC1=NC=CN1CC2=CC=C(C=C2)SC3=CC=CC(=C3)C4(CCOCC4)C(=O)N,Active,,,,0.14,IC50,=,140,nM
3,103464622,11281242,CC1=NC=CN1C2=CC=C(C=C2)SC3=CC=CC(=C3)C4(CCOCC4)/C=N/OC,Active,,,,0.15,IC50,=,150,nM
4,103464654,44400732,CC1=NC=CN1C2=CC=C(C=C2)SC3=CC=CC(=C3)C4(CCOCC4)/C=N/O,Active,,,,2,IC50,=,2000,nM
5,103464723,9821945,CC1=NC=CN1C2=CC=C(C=C2)SC3=CC=CC(=C3)C4(CCOCC4)C(=O)N,Active,,,,0.23,IC50,=,230,nM
6,103464790,44400781,C1COCCC1(C2=CC(=CC=C2)SC3=CC=C(C=C3)N4C=NN=C4)C(=O)N,Unspecified,,,,1,IC50,>,1000,nM
7,103464877,19349871,CC1=NC=CN1C2=CC=C(C=C2)SC3=CC=CC(=C3)C4(CC5CCC(C4)O5)C(=O)N,Unspecified,,,,1,IC50,>,1000,nM
8,103464998,44400880,CC1=NC=CN1C2=CC=C(C=C2)SC3=CC=CC(=C3)C4(C[C@H]5CCC(C4)O5)C(=O)N,Active,,,,0.83,IC50,=,830,nM
9,103465085,18786349,CC1=CC(=NN1C2=CC=C(C=C2)SC3=CC=CC(=C3)C4(CCOCC4)C(=O)N)C,Unspecified,,,,1,IC50,>,1000,nM
