PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103164371,10559224,C1CN(NC(=O)N1)C2=CN=CC=C2,Unspecified,,,,32,IC50,=,32000,nM,
2,103165775,7090,C1CN(NC1=O)C2=CC=CC=C2,Active,,,,1.9,IC50,=,1900,nM,
3,103198496,367858,C1CC(=O)NN(C1)C2=CC=CC=C2,Active,,,,4.3,IC50,=,4300,nM,
4,103359707,10679375,C1CN(NC(=O)N1)C2=CC(=CC=C2)F,Unspecified,,,,19,IC50,=,19000,nM,
5,103360387,10776511,CC1CN(NC(=O)N1O)C2=CC(=CC=C2)Cl,Active,,,,3.9,IC50,=,3900,nM,
6,103360388,10560937,CC1CN(NC(=O)N1OC)C2=CC=CC=C2,Unspecified,,,,22,IC50,=,22000,nM,
7,103360420,10587904,C1CN(NC(=O)N1CC2=CC=CC=C2)C3=CC=CC=C3,Active,,,,8.3,IC50,=,8300,nM,
8,103360525,10750236,CN1CCN(NC1=O)C2=CC=CC=C2,Unspecified,,,,32,IC50,=,32000,nM,
