PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103180160,15199688,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)CC5=NNN=N5)S1)OCC6=NC=C(C=C6)C7=CC=CC=C7,Active,,,,0.017,IC50,=,17,nM
2,103228055,9960281,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)C(=O)O)S1)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,0.06,IC50,=,60,nM
3,103228705,14980546,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)C(=O)O)S1)OCC5=NC6=CC=CC=C6C=C5,Active,,,,0.6,IC50,=,600,nM
4,103306203,14980541,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)C(=O)O)S1)OCC5=NC=CC(=C5)C6=CC=CC=C6,Active,,,,2,IC50,=,2000,nM
5,103306275,14980539,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)C(=O)O)S1)OCC5=CC=CC=N5,Active,,,,0.63,IC50,=,630,nM
6,103306329,14980555,CCCCN1C2=C3C(=C(C=C2)OCC4=NC=C(C=C4)C5=CC=CC=C5)CC(SC3=C1CC(C)(C)C(=O)O)C,Active,,,,0.13,IC50,=,130,nM
7,103306333,14980545,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)C(=O)O)S1)OCC5=NC=C(C=C5)C(=O)O,Unspecified,,,,2,IC50,>,2000,nM
8,103306334,14980543,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)C(=O)O)S1)OCC5=NC=C(C=C5)C#N,Active,,,,0.35,IC50,=,350,nM
9,103306361,44326825,C[C@@H]1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)C(=O)O)S1=O)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,0.33,IC50,=,330,nM
10,103306362,14980561,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC(=CC=C4)OC)CC(C)(C)C(=O)O)S1)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,0.04,IC50,=,40,nM
11,103306392,14980579,CC1(CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)C(=O)O)S1)OCC5=NC=C(C=C5)C6=CC=CC=C6)C,Active,,,,3,IC50,=,3000,nM
12,103306393,14980582,CCC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)C(=O)O)S1)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,0.13,IC50,=,130,nM
13,103306610,14980600,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)CC(=O)O)S1)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,0.02,IC50,=,20,nM
14,103306710,14980560,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)OC)CC(C)(C)C(=O)O)S1)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,0.04,IC50,=,40,nM
15,103306785,10053402,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(=O)O)S1)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,0.2,IC50,=,200,nM
16,103306787,14980593,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)C(=O)O)S1)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,2,IC50,=,2000,nM
17,103306800,14980558,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=CC=N4)CC(C)(C)C(=O)O)S1)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,0.045,IC50,=,45,nM
18,103306801,14980557,CC1CC2=C(C=CC3=C2C(=C(N3CC4CCCCC4)CC(C)(C)C(=O)O)S1)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,0.035,IC50,=,35,nM
19,103306802,14980556,CC1CC2=C(C=CC3=C2C(=C(N3CCCC4=CC=CC=C4)CC(C)(C)C(=O)O)S1)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,0.035,IC50,=,35,nM
20,103306803,44327033,C[C@H]1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)C(=O)O)S1=O)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,8,IC50,=,8000,nM
21,103306854,44327049,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)CC5=NNN=N5)S1)OCCC6=NC=C(C=C6)C7=CC=CC=C7,Active,,,,1.2,IC50,=,1200,nM
22,103306855,44327050,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)CC5=NNN=N5)S1)CCC6=NC=C(C=C6)C7=CC=CC=C7,Active,,,,0.016,IC50,=,16,nM
23,103306869,14980542,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)C(=O)O)S1)OCC5=NC=C(C=C5)OC,Active,,,,0.4,IC50,=,400,nM
24,103306895,14980563,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)S(=O)(=O)C)CC(C)(C)C(=O)O)S1)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,0.35,IC50,=,350,nM
25,103306899,14980544,CCCCC1=CN=C(C=C1)COC2=C3CC(SC4=C(N(C(=C34)C=C2)CC5=CC=C(C=C5)Cl)CC(C)(C)C(=O)O)C,Active,,,,0.5,IC50,=,500,nM
26,103306909,14980562,CC1CC2=C(C=CC3=C2C(=C(N3C(=O)C4=CC=CC=C4)CC(C)(C)C(=O)O)S1)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,0.14,IC50,=,140,nM
27,103306928,44327083,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)CC5=NNN=N5)S1)SCC6=NC=C(C=C6)C7=CC=CC=C7,Active,,,,0.12,IC50,=,120,nM
28,103306949,14980594,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CCC(=O)O)S1)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,0.14,IC50,=,140,nM
29,103306981,14980538,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)C(=O)O)S1)OCC5=CC=C(C=C5)C6=CC=CC=C6,Active,,,,1,IC50,=,1000,nM
30,103306982,14980540,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)C(=O)O)S1)OCC5=NC(=CC=C5)C6=CC=CC=C6,Active,,,,2.5,IC50,=,2500,nM
31,103307065,14980566,CC(C)(CC1=C(C2=C(N1CC3=CC=C(C=C3)Cl)C=CC(=C2)OCC4=NC=C(C=C4)C5=CC=CC=C5)SC)C(=O)O,Active,,,,0.6,IC50,=,600,nM
32,103307094,14980605,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)CC(=O)NS(=O)(=O)C(F)(F)F)S1)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,0.067,IC50,=,67,nM
33,103307141,14980604,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)CC(=O)NS(=O)(=O)C)S1)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,0.036,IC50,=,36,nM
34,103307143,14980601,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)CCC(=O)O)S1)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,0.13,IC50,=,130,nM
35,103307156,14980595,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CCC(C)(C)C(=O)O)S1)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,0.33,IC50,=,330,nM
36,103307157,14980586,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CC(C)(C)C(=O)O)S1(=O)=O)OCC5=NC=C(C=C5)C6=CC=CC=C6,Active,,,,0.32,IC50,=,320,nM
37,103307202,14980570,CC(C)(CC1=C2C3=C(N1CC4=CC=C(C=C4)Cl)C=CC(=C3CCS2)OCC5=NC=C(C=C5)C6=CC=CC=C6)C(=O)O,Active,,,,0.2,IC50,=,200,nM
38,103307221,14980554,CC1CC2=C(C=CC3=C2C(=C(N3C)CC(C)(C)C(=O)O)S1)OCC4=NC=C(C=C4)C5=CC=CC=C5,Active,,,,3,IC50,=,3000,nM
