PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103202029,3651377,CC(C)C1=CC2=C(C=C1)N(C(=C2SC(C)(C)C)CC(C)(C)C(=O)O)CC3=CC=C(C=C3)Cl,Active,,,,2,IC50,=,2000,nM,
2,103492730,11530031,CCOC(=O)C1=C(NC2=C1C=C(C=C2)O)NC3=CC(=CC=C3)Cl,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
3,103633563,44157929,CCOC(=O)C1=C(NC2=C3C=C(C(=CC3=C(C=C12)O)OC)OC)CC4=CC(=CC=C4)Cl,Active,,,,1.7,IC50,=,1700,nM,
4,103633565,44157329,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)NC4=CC(=CC=C4)Cl,Active,,,,1.6,IC50,=,1600,nM,
5,103633566,44157725,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)CC4=CC(=CC=C4)Cl,Active,,,,0.6,IC50,=,600,nM,
6,103633624,44157483,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)CC4=CC=CC=C4Cl,Active,,,,0.1,IC50,=,100,nM,
7,103633625,44157824,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)CC4=CC=C(C=C4)Cl,Active,,,,3.4,IC50,=,3400,nM,
8,103633626,44157825,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)CC4=CC(=CC=C4)F,Active,,,,0.5,IC50,=,500,nM,
9,103633628,44157826,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)CC4=CC(=CC=C4)Br,Active,,,,0.2,IC50,=,200,nM,
10,103633687,44157827,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)CC4=CC(=CC=C4)OC,Active,,,,0.6,IC50,=,600,nM,
11,103633690,44157829,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)C4=CC(=CC=C4)Cl,Active,,,,9.2,IC50,=,9200,nM,
12,103633750,44157830,CCOC(=O)C1=C(NC2=C1C=C(C3=CC=CC=C32)O)CCC4=CC(=CC=C4)Cl,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
13,103634034,44157479,CCOC(=O)C1=C(NC2=C1C=C(C=C2)O)CC3=CC(=CC=C3)Cl,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
14,103634105,44157481,CCOC(=O)C1=C(NC2=C1C=C(C=C2)O)CCC3=CC(=CC=C3)Cl,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
15,103720489,46227442,CCOC(=O)C1=C(N(C2=C1C=C(C=C2)O)C3=CC=C(C=C3)C4=CC=CC=C4)CC5=CC(=CC=C5)Cl,Active,,,,3.1,IC50,=,3100,nM,
16,103720503,46227448,CCOC(=O)C1=C(N(C2=C1C=C(C3=CC=CC=C32)O)CC4=CC=CC=C4)CC5=CC(=CC=C5)Cl,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
17,103720606,44538798,CCOC(=O)C1=C(NC2=C3C=C(C=CC3=C(C=C12)O)C4=CC=CC=C4)CC5=CC(=CC=C5)Cl,Active,,,,2.8,IC50,=,2800,nM,
