PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103163840,3715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,Active,,,,0.07,IC50,=,70,nM,
2,103181002,2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,Active,,,,0.28,IC50,=,280,nM,
3,103191369,3033,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,Unspecified,,,,10.05,IC50,=,10050,nM,
4,461514345,86050251,C1CC(C(=O)C1)C2CC(=O)N(C2=O)C3=CC=CC=C3,Unspecified,,,,51.35,IC50,=,51350,nM,
5,461514815,162643211,C1COCC(C1=O)C2CC(=O)N(C2=O)C3=CC=CC=C3,Unspecified,,,,56.58,IC50,=,56580,nM,
6,461517879,162645368,C1C(C(=O)N(C1=O)C2=CC=C(C=C2)S(=O)(=O)N)CC(=O)C3=CC=C(C=C3)Cl,Active,,,,6.29,IC50,=,6290,nM,
7,461518930,132583648,C1CCC(=O)C(C1)C2CC(=O)N(C2=O)C3=CC=CC=C3,Unspecified,,,,45.08,IC50,=,45080,nM,
8,461520823,139259783,C1CCC(=O)C(C1)C2CC(=O)N(C2=O)CC3=CC=CC=C3,Unspecified,,,,19.98,IC50,=,19980,nM,
9,461527504,122220545,CC(=O)CC1CC(=O)N(C1=O)C2=CC=CC=C2,Unspecified,,,,63.88,IC50,=,63880,nM,
10,461530852,162654474,CC1=CC=C(C=C1)C(=O)CC2CC(=O)N(C2=O)C3=CC=C(C=C3)S(=O)(=O)N,Active,,,,0.98,IC50,=,980,nM,
11,461531771,75989853,C1CCC(=O)C(C1)C2CC(=O)N(C2=O)C3=CC=C(C=C3)Br,Unspecified,,,,113.44,IC50,=,113440,nM,Outside typical range
12,461532904,162655903,CC(=O)C(C)(C)C1CC(=O)N(C1=O)C2=CC=CC=C2,Unspecified,,,,53.47,IC50,=,53470,nM,
13,461534904,162657327,C1CCC(=O)C(C1)C2CC(=O)N(C2=O)C3=CC=C(C=C3)S(=O)(=O)N,Unspecified,,,,21.26,IC50,=,21260,nM,
14,461541723,162662118,C1CCC(C(=O)CC1)C2CC(=O)N(C2=O)C3=CC=CC=C3,Unspecified,,,,39.45,IC50,=,39450,nM,
15,461542139,162662396,C1CCC(C(=O)CC1)C2CC(=O)N(C2=O)C3=CC=C(C=C3)S(=O)(=O)N,Unspecified,,,,20.73,IC50,=,20730,nM,
16,461542435,162662587,C1C(C(=O)N(C1=O)C2=CC=C(C=C2)S(=O)(=O)N)CC(=O)C3=CC=CC=C3,Active,,,,4.23,IC50,=,4230,nM,
17,461555235,162671565,CC1CCC(=O)C(C1)C2CC(=O)N(C2=O)CC3=CC=CC=C3,Unspecified,,,,21.86,IC50,=,21860,nM,
18,461557250,162673041,COC1=CC=C(C=C1)C(=O)CC2CC(=O)N(C2=O)C3=CC=C(C=C3)S(=O)(=O)N,Active,,,,2.1,IC50,=,2100,nM,
19,461560797,162675517,C1C(C(=O)N(C1=O)C2=CC=C(C=C2)S(=O)(=O)N)CC(=O)C3=CC=CC=N3,Active,,,,8.94,IC50,=,8940,nM,
20,461562132,162676470,CC1CCC(=O)C(C1)C2CC(=O)N(C2=O)C3=CC=CC=C3,Unspecified,,,,56.49,IC50,=,56490,nM,
