PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103289206,6438354,CC(=O)N(C/C=C/C1=CC(=CC=C1)OC2=CC=CC=C2)O,Active,,,,0.08,IC50,=,80,nM
2,136921149,57390428,CC1=CN2C(=NC(=C2NC3CCCCC3)C4=CC(=CC=C4)OC5=CC=CC=C5)C=C1,Active,,,,0.5,IC50,=,500,nM
3,136921150,57390429,CC1=CN2C(=NC(=C2NC3CCCCC3)C4=CC=C(C=C4)OCC5=CC=CC=C5)C=C1,Active,,,,0.28,IC50,=,280,nM
4,136922902,856592,CC1=CC=CN2C1=NC(=C2NC3CCCCC3)C4=CC=C(C=C4)F,Active,,,,2.1,IC50,=,2100,nM
5,136924332,856602,CC1=CC=C(C=C1)C2=C(N3C=CC(=CC3=N2)C)NC4CCCC4,Active,,,,0.9,IC50,=,900,nM
6,136926150,1433361,CCOC1=CC2=C(C=C1)NC(=O)C(=C2)C3=C(N4C=C(C=CC4=N3)C)NC5CCCCC5,Active,,,,1.8,IC50,=,1800,nM
7,136926151,1154253,CN(C)C1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)Cl)NC4CCCCC4,Active,,,,0.1,IC50,=,100,nM
8,136926152,57393138,C1CCC(CC1)NC2=C(N=C3N2C=C(C=C3)Cl)C4=CC=C(C=C4)N5CCOCC5,Active,,,,0.17,IC50,=,170,nM
9,136926982,1071670,CC1=CN2C(=NC(=C2NC3CCCCC3)C4=CC=NC=C4)C=C1,Active,,,,7.2,IC50,=,7200,nM
10,136929354,1442508,C1CCC(CC1)NC2=C(N=C3N2C=CC=C3)C4=CC=C(C=C4)NC(=O)C5=CC=CS5,Active,,,,0.4,IC50,=,400,nM
11,136929355,57394873,C1CCC(CC1)CN2C3=C(C=CC(=C3)Cl)N=C2C4=CC=C(C=C4)N5CCOCC5,Active,,,,1.2,IC50,=,1200,nM
12,136930547,1094081,C1CCC(CC1)NC2=C(N=C3N2C=CN=C3)C4=CC=C(C=C4)Cl,Active,,,,2.3,IC50,=,2300,nM
13,136930943,5104845,CC1=CN2C(=NC(=C2NC3CCCCC3)C4=CC(=C(C=C4)OC)OC)C=C1,Active,,,,1.3,IC50,=,1300,nM
14,136932616,25801821,CC1=CN2C(=NC(=C2NC3CCCCC3)C4=CC=C(C=C4)[N+](=O)[O-])C=C1,Active,,,,1.53,IC50,=,1530,nM
15,136932617,57396634,C1CCC(CC1)NC2=C(N=C3N2N=CC=C3)C4=CC=C(C=C4)N5CCOCC5,Active,,,,1.76,IC50,=,1760,nM
16,136932618,57396635,C1CCC(CC1)NC2=C(N=C3N2C=CS3)C4=CC=C(C=C4)N5CCOCC5,Active,,,,1.5,IC50,=,1500,nM
17,136934393,57397507,CC1=CN2C(=NC(=C2NC3CCCCC3)C4=CC=C(C=C4)OC5=CC=CC=C5)C=C1,Active,,,,0.26,IC50,=,260,nM
18,136936033,856590,CC1=CN2C(=NC(=C2NC3CCCCC3)C4=CC=C(C=C4)O)C=C1,Active,,,,2,IC50,=,2000,nM
19,136936034,56838295,CC1=CN2C(=NC(=C2NC3CCCCC3)C4=CC=C(C=C4)N5CCOCC5)C=C1,Active,,,,0.16,IC50,=,160,nM
20,136936035,57398407,C1CCC(CC1)NC2=C(N=C3N2C=C(C=C3)Br)C4=CC=C(C=C4)N5CCOCC5,Active,,,,0.15,IC50,=,150,nM
21,136936036,57398408,C1CCC(CC1)NC2=C(N=C3N2C=C(C=C3)Cl)C4=CC=C(C=C4)N5CCCCC5,Active,,,,0.14,IC50,=,140,nM
22,136936037,57398409,CC(C)(C)OC(=O)N1CCN(CC1)C2=CC=C(C=C2)C3=C(N4C=C(C=CC4=N3)Cl)NC5CCCCC5,Active,,,,0.47,IC50,=,470,nM
23,136936038,57398410,CN(C)C1=CC=C(C=C1)C2=NC3=C(N2CC4CCCCC4)C=C(C=C3)Cl,Active,,,,0.5,IC50,=,500,nM
24,136937514,809076,CC1=CN2C(=NC(=C2NC3CCCCC3)C4=CC(=CC=C4)OC)C=C1,Active,,,,1.22,IC50,=,1220,nM
25,136939178,7299191,C1CCC(CC1)NC2=C(N=C3N2C=CN=C3)C4=CC=C(C=C4)N5CCOCC5,Active,,,,1.8,IC50,=,1800,nM
26,136942392,1154287,C1CCC(CC1)NC2=C(N=C3N2C=C(C=C3)Br)C4=CC=C(C=C4)O,Active,,,,1.1,IC50,=,1100,nM
27,136942393,809037,CC1=CN2C(=NC(=C2NC3CCCCC3)C4=CC=C(C=C4)OC)C=C1,Active,,,,1.3,IC50,=,1300,nM
28,136942394,57401877,C1CCC(CC1)NC2=C(N=C3N2C=CC=C3)C4=CC=C(C=C4)N5CCOCC5,Active,,,,0.42,IC50,=,420,nM
29,136943948,57402705,CC1=CN2C(=NC(=C2NC3CCCCC3)C4=CC(=CC=C4)OCC5=CC=CC=C5)C=C1,Active,,,,0.43,IC50,=,430,nM
30,136945565,809033,CC1=CN2C(=NC(=C2NC3CCCCC3)C4=CC=C(C=C4)N(C)C)C=C1,Active,,,,0.6,IC50,=,600,nM
31,136945566,856589,CC1=CN2C(=NC(=C2NC3CCCCC3)C4=CC=CC=C4O)C=C1,Active,,,,1.9,IC50,=,1900,nM
32,136945567,57403590,C1CCC(CC1)NC2=C(N=C3N2C=CC=N3)C4=CC=C(C=C4)N5CCOCC5,Active,,,,3.55,IC50,=,3550,nM
