PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103681735,16223655,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=NC=CS5)CC(C)(C)C(=O)O,Active,,,,7.34039,Cmax,=,7340.39,nM,standard_value was converted from ug.mL-1 to nM using the parent compound MW
2,103683447,16223851,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=CN=CC=C5)CC(C)(C)C(=O)O,Active,,,,1.58684,Cmax,=,1586.84,nM,standard_value was converted from ug.mL-1 to nM using the parent compound MW
3,103685160,16223854,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=NN=C(C=C5)OC)CC(C)(C)C(=O)O,Unspecified,,,,12.9343,Cmax,=,12934.3,nM,standard_value was converted from ug.mL-1 to nM using the parent compound MW
4,103694030,16224456,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=CN=C(C=C5)OC)CC(C)(C)C(=O)O,Unspecified,,,,14.7592,Cmax,=,14759.2,nM,standard_value was converted from ug.mL-1 to nM using the parent compound MW
5,103694031,44475353,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=NC=C(C=C5)OC)CC(C)(C)C(=O)O,Unspecified,,,,35.75,Cmax,=,35750,nM,standard_value was converted from ug.mL-1 to nM using the parent compound MW
