PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103172204,60490,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,Active,,,,0.4,IC50,=,400,nM,
2,103289206,6438354,CC(=O)N(C/C=C/C1=CC(=CC=C1)OC2=CC=CC=C2)O,Active,,,,0.16,IC50,=,160,nM,
3,103606388,24816385,CCCCCCC(C(=O)O)SC1=NC(=CC(=N1)Cl)NC2=CC=CC(=C2C)C,Active,,,,6.5,IC50,=,6500,nM,
4,103606391,24971276,CCCCCCC(C(=O)OCC)SC1=NC(=CC(=N1)Cl)NC2=CC3=C(C=C2)N=CC=C3,Unspecified,,,,19,IC50,=,19000,nM,
5,103644917,11978569,CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SC(C3=CC=CC4=CC=CC=C43)C(=O)O)Cl)C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
6,103644920,25179712,CCCCCCC(C(=O)O)SC1=NC(=CC(=N1)Cl)NC2=CC=C(C=C2)C3=CC=C(C=C3)C#N,Active,,,,1.5,IC50,=,1500,nM,
7,103644921,25179713,CCCCCC[C@@H](C(=O)O)SC1=NC(=CC(=N1)Cl)NC2=CC=C(C=C2)C3=CC=C(C=C3)C#N,Active,,,,1.5,IC50,=,1500,nM,
8,103644986,16753429,CCCCCCC(C(=O)O)SC1=NC(=CC(=N1)Cl)NC2=CC(=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,Active,,,,3,IC50,=,3000,nM,
9,103644987,25179912,CCCCCC[C@H](C(=O)O)SC1=NC(=CC(=N1)Cl)NC2=CC=C(C=C2)C3=CC=C(C=C3)C#N,Active,,,,0.8,IC50,=,800,nM,
10,103644988,25179911,CCCCCCC(C(=O)O)SC1=NC(=CC(=N1)Cl)NC2=C(C=C(C(=C2)C)C3=CC=CC=C3)OC,Active,,,,2,IC50,=,2000,nM,
11,103645550,25179909,CCCCCCC(C(=O)O)SC1=NC(=CC(=N1)Cl)NC2=CC=C(C=C2)C3=CC=CC=C3,Active,,,,1.5,IC50,=,1500,nM,
12,103645551,25147690,CCCCCCC(C(=O)O)SC1=NC(=CC(=N1)Cl)NCC2=CC=C(C=C2)C3=CC=CC=C3,Active,,,,2,IC50,=,2000,nM,
