PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,440125354,155520721,CC(C)(C)CNC(=O)NC1=CC2=C(C=C1)N(CC2)CC3=CC=C(C=C3)F,Unspecified,,,Potential missing data,,IC50,,,,ND
2,440134368,155526596,CC(C)(C)CN=C(N)NC1=CC2=C(C=C1)N(CC2)CC3=CC=C(C=C3)F,Unspecified,,,,10,IC50,>,10000,nM,
3,440148893,155536116,CC(C)(C)CNC(=S)NC1=CC2=C(C=C1)N(CC2)CC3=CC=C(C=C3)F,Active,,,,1.38,IC50,=,1380,nM,
4,440175307,155547865,C1CCC(CC1)S(=O)(=O)NC2=CC3=C(C=C2)N(CC3)CC4=CC=C(C=C4)F,Unspecified,,,,10,IC50,>,10000,nM,
5,440227901,155568733,C1CCC(CC1)NC(=O)NC2=CC3=C(C=C2)N(CC3)CC4=CC=C(C=C4)F,Unspecified,,,,10,IC50,>,10000,nM,
6,482046727,168268993,CC(C)(C)CNC(=S)NC1=CC2=C(C=C1)N(CC2)CC3=CC=C(C=C3)N=O,Active,,,,0.59,IC50,=,590,nM,
7,482049323,168270768,CC(C)(C)CNC(=S)NC1=CC2=C(C=C1)N(CC2)CCCCO,Unspecified,,,Potential missing data,,IC50,,,,ND
8,482049433,168270844,CC(C)(C)CNC(=S)NC1=CC2=C(C=C1)N(CC2)CC3=CC4=CC=CC=C4C=C3,Unspecified,,,,10,IC50,>,10000,nM,
9,482055597,168275271,CC1=CC2=C(C=C1)N(C(=O)C23N(C(=O)CS3)CCCC(=O)O)C(=O)C4CCCCC4,Unspecified,,,,10,IC50,>,10000,nM,
10,482056680,168276058,CC(C)(C)CNC(=S)NC1=CC2=C(C=C1)N(CC2)CCCCN,Unspecified,,,,10,IC50,>,10000,nM,
11,482062936,168280604,CC(C)C[C@@H]([C@H]1N2[C@@H](CS1)C(=O)N(C2=O)CCCNCCCN)NC(=O)OCC3=CC=CC=C3,Unspecified,,,,10,IC50,>,10000,nM,
12,482063516,168281011,CC(C)(C)CNC(=S)NC1=CC2=C(C=C1)N(CC2)CC3=CC=C(C=C3)C4=CC=CC=C4,Unspecified,,,,10,IC50,>,10000,nM,
13,482064271,168281587,CC1=CC2=C(C=C1)N(C(=O)C23N(C(=O)CS3)CC4=CC=C(C=C4)C(=O)O)C(=O)C5CCCCC5,Unspecified,,,,10,IC50,>,10000,nM,
14,482064450,168281723,CC1=CC2=C(C=C1)N(C(=O)C23N(C(=O)CS3)CCCNC(=O)C4=C(C(=C(C(=C4F)F)F)F)F)C(=O)C5CCCCC5,Unspecified,,,,10,IC50,>,10000,nM,
15,482065683,168282612,CC1=CC2=C(C=C1)N(C(=O)C23N(C(=O)CS3)CCCN=C(N)N)C(=O)C4CCCCC4,Unspecified,,,,10,IC50,>,10000,nM,
16,482067969,168284273,C1CN(C2=C1C=C(C=C2)NC(=S)NC3=CC=CC=C3)CC4=CC=C(C=C4)F,Active,,,,1.98,IC50,=,1980,nM,
17,482068430,168284608,CC(C)(C)CNC(=S)NC1=CC2=C(C=C1)N(CC2)CC3=CC=C(C=C3)O,Active,,,,2.9,IC50,=,2900,nM,
18,482072999,168287917,CC(C)(C)NCC(=O)N1CCC2=C1C=CC(=C2)NCC3=CC=C(C=C3)F,Unspecified,,,,10,IC50,>,10000,nM,
19,482073917,168288573,CC(C)(C)CNC(=S)NC1=CC2=C(C=C1)N(C3=CC=CC=C32)CC4=CC=C(C=C4)F,Unspecified,,,,10,IC50,>,10000,nM,
20,482073950,168288594,CC(C)(C)CNC(=S)NC1=CC2=C(C=C1)N(CC2)C(=O)C3=CC=C(C=C3)F,Unspecified,,,,10,IC50,>,10000,nM,
21,482074178,168288777,CC(C)C[C@@H]([C@H]1N2[C@@H](CS1)C(=O)N(C2=O)CCCN=C(N)N)NC(=O)OCC3=CC=CC=C3,Unspecified,,,,10,IC50,>,10000,nM,
22,482074627,168289111,C1CN(C2=C1C=C(C=C2)NC(=S)NC3=CC=C(C=C3)C(=O)O)CC4=CC=C(C=C4)F,Unspecified,,,,10,IC50,>,10000,nM,
23,482078690,168292063,C1CN(C2=C1C=C(C=C2)NC(=S)NCC3=CC=CC=C3)CC4=CC=C(C=C4)F,Active,,,,0.95,IC50,=,950,nM,
24,482079559,168292681,CC(C)(C)CNC(=S)NC1=CC2=C(C=C1)N(CC2)CCC3=CC=C(C=C3)F,Active,,,,4.87,IC50,=,4870,nM,
25,482081101,168293799,CC(C)(C)CNC(=S)NC1=CC2=C(C=C1)N(C=C2)CC3=CC=C(C=C3)F,Unspecified,,,,10,IC50,>,10000,nM,
26,482084244,168295615,CC(C)(C)CNC(=S)NC1=CC2=C(C=C1)N(CC2)C(=O)CC3=CC=C(C=C3)F,Unspecified,,,,10,IC50,>,10000,nM,
27,482087077,168297252,CC(C)(C)CNC(=S)NC1=CC2=C(C=C1)N(CC2)CC3=CC=C(C=C3)OCOC,Active,,,,2.93,IC50,=,2930,nM,
