PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103172204,60490,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,Active,,,,0.91,IC50,=,910,nM,
2,160705760,135601507,CC1=CC=CC=C1COC2=CC(=C(C=C2)C3=C(C(=NO3)C)C4=CC=C(C=C4)Cl)O,Active,,,,1.9,IC50,=,1900,nM,
3,336874627,118536041,C1=CC(=CC(=C1)C#N)COC2=CC=C(C=C2)C3=C(C(=NO3)C(=O)O)C4=CC=C(C=C4)Cl,Unspecified,,,,16.3,IC50,=,16300,nM,
4,336875072,118536053,C1=CC=C(C(=C1)COC2=CC=C(C=C2)C3=C(C(=NO3)C(=O)O)C4=CC=C(C=C4)Cl)Cl,Active,,,,6.1,IC50,=,6100,nM,
5,336875620,127032000,CC1=CC=CC=C1COC2=CC(=C(C=C2)C3=C(C(=NO3)C)C4=CC=C(C=C4)Cl)OC,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
6,336875621,118536046,CCOC(=O)C1=NOC(=C1C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)OCC4=CC(=CC=C4)F,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
7,336875622,118536061,CCOC(=O)C1=NOC(=C1C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)OCC4=CC=C(C=C4)C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
8,336876058,127032294,CC1=CC=CC=C1COC2=CC=C(C=C2)C3=C(C(=NO3)C)C4=CC=C(C=C4)Cl,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
9,336876061,118536042,CC1=CC=CC=C1COC2=CC=C(C=C2)C3=C(C(=NO3)C(=O)O)C4=CC=C(C=C4)Cl,Active,,,,0.48,IC50,=,480,nM,
10,336876062,118536050,C1=CC(=CC(=C1)F)COC2=CC=C(C=C2)C3=C(C(=NO3)C(=O)O)C4=CC=C(C=C4)Cl,Active,,,,0.38,IC50,=,380,nM,
11,336876076,118536045,CC1=CC=C(C=C1)COC2=CC=C(C=C2)C3=C(C(=NO3)C(=O)O)C4=CC=C(C=C4)Cl,Active,,,,5.9,IC50,=,5900,nM,
12,336876077,118536071,C1=CC=C(C(=C1)COC2=CC=C(C=C2)C3=C(C(=NO3)C(=O)O)C4=CC=C(C=C4)Cl)C(F)(F)F,Active,,,,6,IC50,=,6000,nM,
13,336876513,118536059,C1=CC=NC(=C1)COC2=CC=C(C=C2)C3=C(C(=NO3)C(=O)O)C4=CC=C(C=C4)Cl,Active,,,,7.4,IC50,=,7400,nM,
14,336876514,60168044,C1=CC=C2C(=C1)C=CC(=N2)COC3=CC=C(C=C3)C4=C(C(=NO4)C(=O)O)C5=CC=C(C=C5)Cl,Active,,,,8,IC50,=,8000,nM,
15,336876957,127032928,C1=CC=C2C(=C1)N=C(S2)COC3=CC=C(C=C3)C4=C(C(=NO4)C(=O)O)C5=CC=C(C=C5)Cl,Unspecified,,,,10,IC50,>,10000,nM,
16,336878137,118536062,CCOC(=O)C1=NOC(=C1C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)OCC4=CC=CC=C4C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
