PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103180027,60923,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=NC4=CC=CC=C4C=C3)CC5=CC=C(C=C5)Cl)CC(C)(C)C(=O)O,Active,,,,0.002,IC50,=,2,nM,
2,103216422,9828630,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)Cl)CC(C)(C)C(=O)O,Active,,,,0.0017,IC50,=,1.7,nM,
3,103681735,16223655,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=NC=CS5)CC(C)(C)C(=O)O,Active,,,,0.0048,IC50,=,4.8,nM,
4,103683446,44475193,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=CN=CN=C5)CC(C)(C)C(=O)O,Active,,,,0.0077,IC50,=,7.7,nM,
5,103683447,16223851,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=CN=CC=C5)CC(C)(C)C(=O)O,Active,,,,0.009,IC50,=,9,nM,
6,103683448,16224051,CC(C)(C)CCC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=NC=CS5)CC(C)(C)C(=O)O,Active,,,,0.229,IC50,=,229,nM,
7,103683449,16224457,CC1=CN=C(S1)C2=CC=C(C=C2)CN3C4=C(C=C(C=C4)OCC5=CC=CC=N5)C(=C3CC(C)(C)C(=O)O)SC(C)(C)C,Active,,,,0.0048,IC50,=,4.8,nM,
8,103685159,16223853,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=NC=CN=C5)CC(C)(C)C(=O)O,Active,,,,0.028,IC50,=,28,nM,
9,103685160,16223854,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=NN=C(C=C5)OC)CC(C)(C)C(=O)O,Active,,,,0.004,IC50,=,4,nM,
10,103685161,202225,C[C@@H]1C[C@@H]([C@H]([C@@H](O1)O[C@H]2[C@H](C[C@@]3(CO3)C(=O)[C@@H]([C@H]([C@H]([C@H](OC(=O)[C@@H]([C@H]([C@@H]2C)O[C@H]4C[C@@H]([C@H]([C@@H](O4)C)OC(=O)C)OC)C)C)C)OC(=O)C)C)C)OC(=O)C)N(C)C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
11,103686918,16223656,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=NC=CC=N5)CC(C)(C)C(=O)O,Active,,,,0.0069,IC50,=,6.9,nM,
12,103686919,16224255,CC(C)(CC1=C(C2=C(N1CC3=CC=C(C=C3)C4=NC=CS4)C=CC(=C2)OCC5=CC=CC=N5)C(=O)C6CCC6)C(=O)O,Active,,,,0.444,IC50,=,444,nM,
13,103686920,16224844,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=NC=C(S5)F)CC(C)(C)C(=O)O,Active,,,,0.0021,IC50,=,2.1,nM,
14,103686921,16225463,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=CSC(=N5)OC)CC(C)(C)C(=O)O,Active,,,,0.0033,IC50,=,3.3,nM,
15,103688717,16224046,CC(C)(CC1=CC2=C(N1CC3=CC=C(C=C3)C4=NC=CS4)C=CC(=C2)OCC5=CC=CC=N5)C(=O)O,Active,,,,0.299,IC50,=,299,nM,
16,103688718,44475194,CC1=NN=C(C=C1)C2=CC=C(C=C2)CN3C4=C(C=C(C=C4)OCC5=CC=CC=N5)C(=C3CC(C)(C)C(=O)O)SC(C)(C)C,Active,,,,0.027,IC50,=,27,nM,
17,103692191,45272765,CC(C)(C)S(=O)(=O)C1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=CN=C(C=C5)OC)CC(C)(C)C(=O)O,Active,,,,0.205,IC50,=,205,nM,
18,103692192,16224458,CC(C)(CC1=C(C2=C(N1CC3=CC=C(C=C3)C4=NC=CS4)C=CC(=C2)OCC5=CC=CC=N5)CC6CCC6)C(=O)O,Active,,,,0.0066,IC50,=,6.6,nM,
19,103694029,44475195,CC1=NC=C(C=C1)C2=CC=C(C=C2)CN3C4=C(C=C(C=C4)OCC5=CC=CC=N5)C(=C3CC(C)(C)C(=O)O)SC(C)(C)C,Active,,,,0.0065,IC50,=,6.5,nM,
20,103694030,16224456,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=CN=C(C=C5)OC)CC(C)(C)C(=O)O,Active,,,,0.0042,IC50,=,4.2,nM,
21,103694031,44475353,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=NC=C(C=C5)OC)CC(C)(C)C(=O)O,Active,,,,0.0068,IC50,=,6.8,nM,
22,103694032,44474262,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC(=CC=C4)C5=CN=C(C=C5)OC)CC(C)(C)C(=O)O,Active,,,,0.0055,IC50,=,5.5,nM,
23,103694033,45273712,CC(C)(C)S(=O)C1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=CN=C(C=C5)OC)CC(C)(C)C(=O)O,Active,,,,0.793,IC50,=,793,nM,
