PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103321668,124072,COC1=C(C=CC(=C1)CCC(=O)CC(=O)CCC2=CC(=C(C=C2)O)OC)O,Inactive,,,Potential missing data,,EC50,,,,Not Active
2,103340697,,,Active,,,,9.9,EC50,=,9900,nM,
3,103361640,6474893,COC1=C(C=CC(=C1)/C=C/C(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,Active,,,,0.9,EC50,=,900,nM,
4,103445710,135494223,COC1=C(C=CC(=C1)/C=C/C2=CC(=NN2)/C=C/C3=CC(=C(C=C3)O)OC)O,Inactive,,,Potential missing data,,EC50,,,,Not Active
5,174496521,73348950,CC(=CCC1=C(C(=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C(=C2)OC)O)CC=C(C)C)OC)O)C,Inactive,,,Potential missing data,,EC50,,,,Not Active
6,174497660,136244569,COC1=C(C=CC(=C1)/C=C/C2=CC(=NN2)C3=CC(=C(C=C3)O)OC)O,Inactive,,,Potential missing data,,EC50,,,,Not Active
7,174501778,71725229,CC(C)CCC1=C(C(=CC(=C1)CCC(=O)CC(=O)CCC2=CC(=C(C(=C2)OC)O)CCC(C)C)OC)O,Inactive,,,Potential missing data,,EC50,,,,Not Active
8,174522330,73356550,CC(=CCC1=C(C(=CC(=C1)/C=C/C(=O)/C=C/C2=CC(=C(C(=C2)OC)O)CC=C(C)C)OC)O)C,Inactive,,,Potential missing data,,EC50,,,,Not Active
9,242648995,71571581,COC1=C(C(=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C(=C2)F)O)OC)F)O,Active,,,,8.6,EC50,=,8600,nM,
10,242648996,90644814,COC1=C(C(=CC(=C1)/C=C/C(=O)/C=C/C2=CC(=C(C(=C2)F)O)OC)F)O,Active,,,,3.1,EC50,=,3100,nM,
11,242649251,68815772,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)C2=CC(=C(C=C2)O)OC)O,Inactive,,,Potential missing data,,EC50,,,,Not Active
12,242649253,136504263,CC(=CCC1=C(C(=CC(=C1)/C=C/C2=CC(=NN2)/C=C/C3=CC(=C(C(=C3)OC)O)CC=C(C)C)OC)O)C,Inactive,,,Potential missing data,,EC50,,,,Not Active
