PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103189710,44457901,C1C2COC(O2)CC1(C3=CC=CC(=N3)COC4=CC5=C(C=C4)C(=CC(=O)N5CC6=CC=CC=C6)C7=COC=C7)O,Active,,,,0.102,IC50,=,102,nM
2,103189711,44457902,C1C2COC(O2)CC1(C3=CC=CC(=N3)COC4=CC5=NC(=CC(=C5C=C4)C6=COC=C6)C#N)O,Active,,,,0.036,IC50,=,36,nM
3,103189742,44457918,C1C2COC(O2)CC1(C3=CC=CC(=C3)COC4=CC5=NC(=CC(=C5C=C4)C6=COC=C6)C#N)O,Unspecified,,,,3,IC50,>,3000,nM
4,103189828,44457974,C1C2COC(O2)CC1(C3=CC=CC(=N3)COC4=CC5=CC(=NC(=C5C=C4)C6=COC=C6)C#N)O,Active,,,,1.96,IC50,=,1960,nM
5,103189829,44457975,C1C2COC(O2)CC1(C3=CC=CC(=N3)COC4=CC5=CN=CC(=C5C=C4)C6=COC=C6)O,Active,,,,1.46,IC50,=,1460,nM
6,103189830,9847616,C1C2COC(O2)CC1(C3=CC(=CC(=C3)F)OCC4=CC5=NC(=CC(=C5C=C4)C6=COC=C6)C#N)O,Active,,,,0.027,IC50,=,27,nM
7,103189867,44458007,C1C2COC(O2)CC1(C3=CC(=CC(=C3)SCC4=CC5=NC(=CC(=C5C=C4)C6=COC=C6)C#N)F)O,Active,,,,0.124,IC50,=,124,nM
8,103190230,9803993,C1C2COC(O2)CC1(C3=CC=CC(=N3)COC4=CC5=C(C=C4)C(=CC(=C5)C#N)C6=COC=C6)O,Active,,,,0.02,IC50,=,20,nM
