PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103172204,60490,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
2,103315622,76617,CCCCCCCCCCCCCCCC1=CC(=CC(=C1)O)O,Active,,,,2.36,IC50,=,2360,nM,
3,103404661,10377,CCCCCC1=CC(=CC(=C1)O)O,Unspecified,,,,17.26,IC50,=,17260,nM,
4,103459707,39912,C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)O,Active,,,,2.46,IC50,=,2460,nM,
5,103579943,14757449,CCCCCC1=CC(=CC(=C1)OC)O,Unspecified,,,,15.92,IC50,=,15920,nM,
6,103581259,44559530,CCCCCCCCCCCC1=CC(=O)C=C(C1=O)OC,Active,,,,0.57,IC50,=,570,nM,
7,103617305,174862,CCCCCCCCCCCCCC1=CC(=CC(=C1)O)O,Active,,,,2.74,IC50,=,2740,nM,
8,103619274,84800,CCCCCC1=CC(=O)C=C(C1=O)OC,Active,,,,1.9,IC50,=,1900,nM,
9,440139798,10087379,CCCCCCCCCCCCCC1=CC(=O)C=C(C1=O)OC,Active,,,,0.88,IC50,=,880,nM,
10,440193037,71345494,CCCCCCCCCCCCCCCC1=CC(=O)C=C(C1=O)OC,Active,,,,8.97,IC50,=,8970,nM,
11,461517242,11735699,CCCCCC1=C(C(=CC=C1)OC)O,Active,,,,4.65,IC50,=,4650,nM,
12,461517892,4535821,COC1=C(C(=CC(=C1)O)Br)O,Active,,,,4.81,IC50,=,4810,nM,
13,461526812,162651610,CCCCCCCCCCCCCCCC1=C(C(=CC(=C1)O)OC)O,Active,,,,2.71,IC50,=,2710,nM,
14,461538143,162659608,CCCCCCCCCCCC1=C(C(=CC(=C1)O)OC)O,Active,,,,0.55,IC50,=,550,nM,
15,461540245,162661111,CCCCCC1=CC(=O)C=C(C1=N)OC,Active,,,,5.82,IC50,=,5820,nM,
16,461542853,13703687,COC1=CC(=O)C=C(C1=O)Br,Active,,,,4.48,IC50,=,4480,nM,
17,461561166,162675779,CCCCCCCCCCCCCC1=C(C(=CC(=C1)O)OC)O,Active,,,,1.55,IC50,=,1550,nM,
