PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,404709271,4560409,CC1=C(C=CC(=C1)OCC2=NC3=CC=CC=C3S2)NC(=O)NC4=CC(=C(C=C4)Cl)Cl,Active,,,,0.23,IC50,=,230,nM
2,440115324,155514213,C1=CC=C2C(=C1)N=C(S2)CCC3=CC=C(C=C3)NC(=O)NC4=CC(=C(C=C4)Cl)Cl,Unspecified,,,,10,IC50,>,10000,nM
3,440122155,155518737,CC1=C(C=CC(=C1)OCC2=NC3=CC=CC=C3S2)NC(=O)NC4=CC=CC=C4Cl,Active,,,,0.83,IC50,=,830,nM
4,440123431,155519575,C1=CC=C2C(=C1)N=C(S2)COC3=CC=C(C=C3)NC(=O)NC4=CC=C(C=C4)Cl,Active,,,,1.01,IC50,=,1010,nM
5,440132085,155525137,C1=CC=C2C(=C1)N=C(S2)COC3=CC=C(C=C3)NC(=O)NC4=CC(=CC(=C4)Cl)Cl,Active,,,,0.09,IC50,=,90,nM
6,440139338,980457,CC1=C(C=CC(=C1)OCC2=NC3=CC=CC=C3S2)NC(=O)NC4=CC(=CC=C4)Cl,Active,,,,0.16,IC50,=,160,nM
7,440140201,155530411,CC1=C(C=CC(=C1)OCC2=NC3=CC=CC=C3S2)NC(=O)NC4=CC(=CC(=C4)Cl)Cl,Active,,,,0.08,IC50,=,80,nM
8,440143259,155532437,CC1=C(C=CC(=C1)NC(=O)NC2=CC=CC=C2)OCC3=NC4=CC=CC=C4S3,Active,,,,2.07,IC50,=,2070,nM
9,440143798,155532784,CC1=C(C=CC(=C1)NC(=O)NC2=CC(=C(C=C2)Cl)Cl)OCC3=NC4=CC=CC=C4S3,Active,,,,2.17,IC50,=,2170,nM
10,440144188,155533037,CC1=C(C=CC(=C1)NC(=O)NC2=CC=CC=C2Cl)OCC3=NC4=CC=CC=C4S3,Active,,,,0.68,IC50,=,680,nM
11,440146456,155534569,C1=CC=C2C(=C1)N=C(S2)COC3=CC=C(C=C3)NC(=O)NC4=CC(=CC=C4)Cl,Active,,,,0.17,IC50,=,170,nM
12,440150415,155537100,CC1=C(C=CC(=C1)NC(=O)NC2=CC=C(C=C2)Cl)OCC3=NC4=CC=CC=C4S3,Unspecified,,,,10,IC50,>,10000,nM
13,440154088,155539161,CC1=C(C=CC(=C1)OCC2=NC3=CC=CC=C3S2)NC(=O)NC4=CC=C(C=C4)Cl,Active,,,,0.57,IC50,=,570,nM
14,440162281,155542667,C1=CC=C2C(=C1)N=C(S2)COC3=CC=C(C=C3)NC(=O)NC4=CC=CC=C4Cl,Active,,,,0.36,IC50,=,360,nM
15,440169481,155545531,CC1=C(C=CC(=C1)OCC2=NC3=CC=CC=C3S2)NC(=O)NC4=CC=CC=C4,Active,,,,0.73,IC50,=,730,nM
16,440201162,155558153,CC1=C(C=CC(=C1)NC(=O)NC2=CC(=CC(=C2)Cl)Cl)OCC3=NC4=CC=CC=C4S3,Active,,,,0.72,IC50,=,720,nM
17,440211884,155562385,C1=CC=C2C(=C1)N=C(S2)COC3=CC=C(C=C3)NC(=O)NC4=CC(=C(C=C4)Cl)Cl,Active,,,,0.57,IC50,=,570,nM
18,440216061,155564090,C1=CC=C2C(=C1)N=C(S2)CSC3=CC=C(C=C3)NC(=O)NC4=CC(=C(C=C4)Cl)Cl,Active,,,,1.13,IC50,=,1130,nM
19,440218331,155565005,C1=CC=C2C(=C1)N=C(S2)/C=C/C3=CC=C(C=C3)NC(=O)NC4=CC(=C(C=C4)Cl)Cl,Unspecified,,,,10.76,IC50,=,10760,nM
20,440221219,155566111,CC1=C(C=CC(=C1)NC(=O)NC2=CC(=CC=C2)Cl)OCC3=NC4=CC=CC=C4S3,Active,,,,2.09,IC50,=,2090,nM
21,440223585,155567033,C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)OCC3=NC4=CC=CC=C4S3,Active,,,,0.42,IC50,=,420,nM
