PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103322283,129065,CC1=C(C(=C(C2=C1N=C(S2)NCC3=CC=C(C=C3)S(=O)(=O)N)C)O)C,Unspecified,,,,100,IC50,>,100000,nM
2,103322284,10335738,CCNC1=NC2=C(S1)C(=C(C(=C2C)C)O)CC3=CN=CC=C3,Active,,,,4.3,IC50,=,4300,nM
3,103322438,10425738,CCNC1=NC2=C(S1)C(=C(C(=C2C)CC3=CN=CC=C3)O)C,Active,,,,2.3,IC50,=,2300,nM
4,103322700,443292,CC1=C(C2=C(C(=C1O)C)SC(=N2)NC)CC3=CN=CC=C3,Active,,,,0.08,IC50,=,80,nM
5,242612222,19044744,CCNC1=NC2=C(S1)C(=C(C(=C2CC3=CN=CC=C3)C)O)C.Cl.Cl,Active,,,,0.06,IC50,=,60,nM
