PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103196467,5284442,C1=CC=C(C=C1)/C(=C\CCCCC(=O)O)/C2=CN=CC=C2,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
2,103268050,1967,CC1=C(C(=O)C(=C(C1=O)C)CCCCC#CCCCC#CCO)C,Active,,,,0.09,IC50,=,90,nM,
3,103283006,93543,CC1=C(C(=O)C(=C(C1=O)C)CC2=CN=CC=C2)C,Active,,,,0.062,IC50,=,62,nM,
4,103304215,14277765,CC1=C(C(=O)C(=C(C1=O)C)C(C)C2=CN=CC=C2)C,Active,,,,9.5,IC50,=,9500,nM,
5,103304216,14277779,CCC(C1=CN=CC=C1)C2=C(C(=O)C(=C(C2=O)C)C)C,Active,,,,0.66,IC50,=,660,nM,
6,103304217,14277776,CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCO)C2=CN=CC=C2)C,Active,,,,0.1,IC50,=,100,nM,
7,103304278,14277764,CC1=C(C(=O)C(=C(C1=O)C)/C(=C/CCCCC(=O)O)/C2=CN=CC=C2)C,Active,,,,7.2,IC50,=,7200,nM,
8,103304279,14277772,CCCCC(C1=CN=CC=C1)C2=C(C(=O)C(=C(C2=O)C)C)C,Active,,,,0.83,IC50,=,830,nM,
9,103304288,14894867,CC1=C(C(=O)C(=C(C1=O)CC2=CN=CC=C2)C)CCC(=O)O,Active,,,,5,IC50,=,5000,nM,
10,103304305,14277778,CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCC(=O)O)C2=CN=CC=C2)C,Active,,,,9.3,IC50,=,9300,nM,
11,103304311,44325796,CCOC(=O)/C=C/C1=C(C(=O)C(=C(C1=O)C)CC2=CN=CC=C2)C,Active,,,,0.008,IC50,=,8,nM,
12,103304312,14894869,CC1=C(C(=O)C(=C(C1=O)/C=C(\C)/C(=O)O)C)CC2=CN=CC=C2,Active,,,,8.7,IC50,=,8700,nM,
13,103304360,14277787,CC1=C(C(=O)C(=C(C1=O)OC)OC)CC2=CN=CC=C2,Active,,,,5.2,IC50,=,5200,nM,
14,103304390,14277789,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC3=CN=CC=C3,Active,,,,0.082,IC50,=,82,nM,
15,103304391,44325840,CC1=C(C(=O)C(=C(C1=O)C)C(C2=CN=CC=C2)C3=CC=CC(=C3)CCC(=O)O)C,Unspecified,,,,100,IC50,=,100000,nM,
16,103304392,44325841,CC1=C(C(=O)C(=C(C1=O)C)C(C2=CN=CC=C2)C3=CC=CC(=C3)/C=C/C(=O)O)C,Unspecified,,,,87,IC50,=,87000,nM,
17,103304395,14576262,CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCCC(=O)O)C2=CN=CC=C2)C,Active,,,,7,IC50,=,7000,nM,
18,103304397,14277774,CC1=C(C(=O)C(=C(C1=O)C)C(CCCCOC(=O)C)C2=CN=CC=C2)C,Active,,,,0.25,IC50,=,250,nM,
19,103304427,44325853,CC1=C(C(=O)C(=C(C1=O)C)C(C2=CN=CC=C2)C3=CC=CC(=C3)/C=C(\C)/C(=O)O)C,Unspecified,,,,100,IC50,=,100000,nM,
20,103304428,14277773,CC1=C(C(=O)C(=C(C1=O)C)C(CCCCO)C2=CN=CC=C2)C,Active,,,,0.1,IC50,=,100,nM,
21,103304438,14894868,CC1=C(C(=O)C(=C(C1=O)/C=C/C(=O)O)C)CC2=CN=CC=C2,Active,,,,8.8,IC50,=,8800,nM,
22,103304469,14277780,CCCCCCC(C1=CN=CC=C1)C2=C(C(=O)C(=C(C2=O)C)C)C,Active,,,,0.073,IC50,=,73,nM,
23,103305134,14277777,CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCOC(=O)C)C2=CN=CC=C2)C,Active,,,,0.087,IC50,=,87,nM,
24,103305137,14277775,CC1=C(C(=O)C(=C(C1=O)C)C(CCCCC(=O)O)C2=CN=CC=C2)C,Unspecified,,,,60,IC50,=,60000,nM,
