PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103167143,4534,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,Active,,,,0.11,IC50,=,110,nM,
2,103405661,72536,C[C@]12CCCC([C@@H]1CC[C@]3([C@@H]2C=C4C=C(C(=O)C=C4O3)O)C)(C)C,Active,,,,0.68,IC50,=,680,nM,
3,103444183,10110469,CC1=C(C(CCC1)(C)C)CC/C(=C/CC/C(=C/CC2=C(C=CC(=C2)O)O)/C)/C,Active,,,,0.45,IC50,=,450,nM,
4,103444317,10179787,CC1=CC[C@H]2[C@@](CCC[C@@]2([C@H]1CC3=C(C=CC(=C3)C(=O)O)O)C)(C)CCC=C(C)C,Unspecified,,,,14,IC50,=,14000,nM,
5,103765768,46907572,C[C@]12CCCC([C@@H]1CC[C@]3([C@@H]2C=C4[C@H](C(=O)C=C4O3)O)C)(C)C,Unspecified,,,,50,IC50,>,50000,nM,
6,103765769,460087,C[C@]12CCCC([C@@H]1CC[C@]3(C2=CC4=CC(=O)C(=O)C=C4O3)C)(C)C,Active,,,,4.6,IC50,=,4600,nM,
7,103765770,44557858,C[C@]12CCCC([C@@H]1CC[C@]3([C@@H]2C(=O)C4=C(C=CC=C4O3)C(=O)O)C)(C)C,Unspecified,,,,150,IC50,>,150000,nM,Outside typical range
8,103765836,46907602,CC1=CC[C@H]2[C@@](CCC[C@@]2([C@@H]1CC3=C(C=CC(=C3)C(=O)O)O)C)(C)CCC=C(C)C,Unspecified,,,,18,IC50,=,18000,nM,
9,103765837,10220327,C[C@@H](C1=CC2=CC=CC=C2S1)N(C(=O)N)O,Active,,,,0.5,IC50,=,500,nM,
