PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103180027,60923,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=NC4=CC=CC=C4C=C3)CC5=CC=C(C=C5)Cl)CC(C)(C)C(=O)O,Active,,,,0.54,IC50,=,540,nM,
2,103216422,9828630,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)Cl)CC(C)(C)C(=O)O,Active,,,,0.512,IC50,=,512,nM,
3,103681735,16223655,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=NC=CS5)CC(C)(C)C(=O)O,Active,,,,0.273,IC50,=,273,nM,
4,103683446,44475193,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=CN=CN=C5)CC(C)(C)C(=O)O,Active,,,,1.043,IC50,=,1043,nM,
5,103683447,16223851,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=CN=CC=C5)CC(C)(C)C(=O)O,Active,,,,0.37,IC50,=,370,nM,
6,103683448,16224051,CC(C)(C)CCC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=NC=CS5)CC(C)(C)C(=O)O,Active,,,,4.86,IC50,=,4860,nM,
7,103685159,16223853,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=NC=CN=C5)CC(C)(C)C(=O)O,Active,,,,1.65,IC50,=,1650,nM,
8,103685160,16223854,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=NN=C(C=C5)OC)CC(C)(C)C(=O)O,Active,,,,1.577,IC50,=,1577,nM,
9,103686918,16223656,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=NC=CC=N5)CC(C)(C)C(=O)O,Active,,,,1.21,IC50,=,1210,nM,
10,103686919,16224255,CC(C)(CC1=C(C2=C(N1CC3=CC=C(C=C3)C4=NC=CS4)C=CC(=C2)OCC5=CC=CC=N5)C(=O)C6CCC6)C(=O)O,Unspecified,,,,33.5,IC50,=,33500,nM,
11,103688717,16224046,CC(C)(CC1=CC2=C(N1CC3=CC=C(C=C3)C4=NC=CS4)C=CC(=C2)OCC5=CC=CC=N5)C(=O)O,Active,,,,5.517,IC50,=,5517,nM,
12,103688718,44475194,CC1=NN=C(C=C1)C2=CC=C(C=C2)CN3C4=C(C=C(C=C4)OCC5=CC=CC=N5)C(=C3CC(C)(C)C(=O)O)SC(C)(C)C,Active,,,,4.37,IC50,=,4370,nM,
13,103692191,45272765,CC(C)(C)S(=O)(=O)C1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=CN=C(C=C5)OC)CC(C)(C)C(=O)O,Active,,,,3.42,IC50,=,3420,nM,
14,103692192,16224458,CC(C)(CC1=C(C2=C(N1CC3=CC=C(C=C3)C4=NC=CS4)C=CC(=C2)OCC5=CC=CC=N5)CC6CCC6)C(=O)O,Active,,,,0.391,IC50,=,391,nM,
15,103694029,44475195,CC1=NC=C(C=C1)C2=CC=C(C=C2)CN3C4=C(C=C(C=C4)OCC5=CC=CC=N5)C(=C3CC(C)(C)C(=O)O)SC(C)(C)C,Active,,,,0.577,IC50,=,577,nM,
16,103694030,16224456,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=CN=C(C=C5)OC)CC(C)(C)C(=O)O,Active,,,,0.349,IC50,=,349,nM,
17,103694031,44475353,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=NC=C(C=C5)OC)CC(C)(C)C(=O)O,Active,,,,0.277,IC50,=,277,nM,
18,103694032,44474262,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC(=CC=C4)C5=CN=C(C=C5)OC)CC(C)(C)C(=O)O,Active,,,,0.934,IC50,=,934,nM,
19,103694033,45273712,CC(C)(C)S(=O)C1=C(N(C2=C1C=C(C=C2)OCC3=CC=CC=N3)CC4=CC=C(C=C4)C5=CN=C(C=C5)OC)CC(C)(C)C(=O)O,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
