PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,374273599,134133510,CC(C)CC1=CC=C(C=C1)C(C)C2=NC3=C(N2CC4=CC=CC=C4C(F)(F)F)C=CC(=C3)OCC5=CC=CC=N5,Active,,,,0.15,IC50,=,150,nM,
2,374302288,134141312,CC(C)CC1=CC=C(C=C1)C(C)C2=NC3=C(N2CC4=CC=CC=C4C(F)(F)F)C=CC(=C3)OCC=C,Active,,,,0.17,IC50,=,170,nM,
3,374311926,134144042,CC(C)CC1=CC=C(C=C1)C(C)C2=NC3=C(N2CC4=CC=CC=C4Cl)C=CC(=C3)C#N,Active,,,,0.07,IC50,=,70,nM,
4,374311926,134144042,CC(C)CC1=CC=C(C=C1)C(C)C2=NC3=C(N2CC4=CC=CC=C4Cl)C=CC(=C3)C#N,Unspecified,,,Potential missing data,,Inhibition,,,,Dose-dependent effect
5,374316589,134145354,CC(C)CC1=CC=C(C=C1)C(C)C2=NC3=C(N2CC4=CC=CC=C4C(F)(F)F)C=CC(=C3)OCC(=O)OC,Active,,,,0.21,IC50,=,210,nM,
6,374359717,134157461,CC(C)CC1=CC=C(C=C1)C(C)C2=NC3=C(N2CC4=CC=CC=C4Cl)C=CC(=C3)OCC5=CC=CC=C5C#N,Active,,,,0.12,IC50,=,120,nM,
