PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103643085,44587062,CC(C)[C@H](C1=C(C(=C(C(=C1O)C(=O)C(C)C)O)[C@H](C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O)C(C)C)O)C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O,Active,,,,3.2,IC50,=,3200,nM,
2,103643087,25058073,CCCCCC(=O)C1=C(C(=C(C(=C1O)[C@H](C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O)C(C)C)O)[C@H](C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O)C(C)C)O,Active,,,,3.1,IC50,=,3100,nM,
3,103643089,25058075,CCCCCC(=O)C1=C(C(=C(C(=C1O)[C@H](C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O)C(C)C)O)[C@@H](CC(C)C)C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O)O,Active,,,,1.3,IC50,=,1300,nM,
4,318385038,122186832,CC(C)C(C1=C(C(=C(C(=C1O)C(=O)C2=CC=CC=C2)O)C(C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O)C(C)C)O)C4=C(C(C(=O)C(C4=O)(C)C)(C)C)O,Unspecified,,,,10,IC50,>,10000,nM,
5,318385039,122186833,CCCCCC(=O)C1=C(C(=C(C(=C1O)C(CC(C)C)C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O)O)C(CC(C)C)C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O)O,Active,,,,0.46,IC50,=,460,nM,
6,318385040,122186834,CC(C)CC(C1=C(C(=C(C(=C1O)C(=O)C(C)C)O)C(CC(C)C)C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O)O)C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O,Active,,,,0.97,IC50,=,970,nM,
7,318385041,122186835,CC(C)CC(C1=C(C(=C(C(=C1O)C(=O)CC(C)C)O)C(CC(C)C)C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O)O)C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O,Active,,,,0.66,IC50,=,660,nM,
8,318385042,51136453,CC(C)C(C1=C(C(=C(C=C1O)O)C(=O)C(C)C)O)C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O,Active,,,,8.1,IC50,=,8100,nM,
9,318385043,122186836,CCCCCC(=O)C1=C(C=C(C(=C1O)C(C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O)C(C)C)O)O,Active,,,,1.6,IC50,=,1600,nM,
10,318385044,72546190,CC(C)CC(C1=C(C(=C(C=C1O)O)C(=O)CC(C)C)O)C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O,Active,,,,1.8,IC50,=,1800,nM,
11,318385045,51534485,CC(C)[C@@H]1C2=C(C(=C(C=C2O)O)C(=O)C(C)C)OC3=C1C(=O)C(C(=O)C3(C)C)(C)C,Active,,,,1.6,IC50,=,1600,nM,
12,318385046,122186837,CCCCCC(=O)C1=C(C=C(C2=C1OC3=C(C2C(C)C)C(=O)C(C(=O)C3(C)C)(C)C)O)O,Active,,,,1.6,IC50,=,1600,nM,
13,318385047,11592681,CC(C)[C@@H]1C2=C(C(=C(C(=C2OC3=C1C(=O)C(C(=O)C3(C)C)(C)C)C(=O)C(C)C)O)[C@@H](C4=C(C(C(=O)C(C4=O)(C)C)(C)C)O)C(C)C)O,Active,,,,0.98,IC50,=,980,nM,
14,318385048,122186838,CCCCCC(=O)C1=C2C(=C(C(=C1O)C(C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O)C(C)C)O)C(C4=C(O2)C(C(=O)C(C4=O)(C)C)(C)C)C(C)C,Active,,,,1.3,IC50,=,1300,nM,
15,318385049,71764503,CC(C)C1C2=C(C3=C(C(=C2OC4=C1C(=O)C(C(=O)C4(C)C)(C)C)C(=O)C(C)C)OC5=C(C3C(C)C)C(=O)C(C(=O)C5(C)C)(C)C)O,Unspecified,,,,10,IC50,>,10000,nM,
16,318385050,122186839,CC(C)C(C1=C(CC(CC1=O)(C)C)O)C2=C(C(=C(C(=C2O)C(C3=C(CC(CC3=O)(C)C)O)C(C)C)O)C(C4=C(CC(CC4=O)(C)C)O)C(C)C)O,Unspecified,,,,10,IC50,>,10000,nM,
17,318385051,122186840,CC(C)C1C2=CC(=C3C(=C2OC4=C1C(=O)C5=CC=CC=C54)C(C6=C(O3)C7=CC=CC=C7C6=O)C(C)C)C(=O)C(C)C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
18,318385052,46189367,CC(C)C(C1=C(CC(CC1=O)(C)C)O)C2=C(C(=C(C(=C2O)C(=O)C)O)C(C3=C(CC(CC3=O)(C)C)O)C(C)C)O,Active,,,,8.1,IC50,=,8100,nM,
19,318385053,45110606,CC(C)C(C1=C(CC(CC1=O)(C)C)O)C2=C(C(=C(C(=C2O)C(=O)C(C)C)O)C(C3=C(CC(CC3=O)(C)C)O)C(C)C)O,Unspecified,,,,13,IC50,=,13000,nM,
20,318385054,122186841,CCCCCC(=O)C1=C(C(=C(C(=C1O)C(C2=C(CC(CC2=O)(C)C)O)C(C)C)O)C(C3=C(CC(CC3=O)(C)C)O)C(C)C)O,Active,,,,2.7,IC50,=,2700,nM,
21,318385055,122186842,CC(C)C(C1=C(CC(CC1=O)(C)C)O)C2=C(C(=C(C(=C2O)C(=O)C3=CC=CC=C3)O)C(C4=C(CC(CC4=O)(C)C)O)C(C)C)O,Unspecified,,,,10,IC50,>,10000,nM,
22,318385056,122186843,CCCCCC(=O)C1=C(C(=C(C(=C1O)C(CC(C)C)C2=C(CC(CC2=O)(C)C)O)O)C(CC(C)C)C3=C(CC(CC3=O)(C)C)O)O,Active,,,,7.3,IC50,=,7300,nM,
