PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103503862,480764,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C[C@H](O2)C3=CC=C(C=C3)O)C,Unspecified,,,,10,IC50,>,10000,nM,
2,103558907,639665,CC(=CCC1=C(C(=C(C=C1O)OC)C(=O)/C=C/C2=CC=C(C=C2)O)O)C,Active,,,,2.9,IC50,=,2900,nM,
3,103602880,10338075,CC1(C=CC2=C(C(=C(C=C2O1)OC)C(=O)/C=C/C3=CC=C(C=C3)O)O)C,Unspecified,,,,10,IC50,>,10000,nM,
4,336903046,45783050,CC(C)C(=O)C1=C(C(C(=O)C(C1=O)(CC=C(C)C)O)(CC=C(C)C)CC=C(C)C)O,Unspecified,,,,10,IC50,>,10000,nM,
5,336903047,127049679,CC(=CCC1=C(C(=C(C=C1O)O)C2=C(C=C(C(=C2O)CC=C(C)C)O)O)O)C,Inactive,,,Potential missing data,,IC50,,,,Not Active
6,336903048,127049680,CC(C)CC(=O)C1=C(C(=C2[C@](C1=O)(C[C@@H](O2)C(C)(C)O)O)CC=C(C)C)O,Inactive,,,Potential missing data,,IC50,,,,Not Active
7,336905576,442911,CC(C)CC(=O)C1=C(C(=C([C@@](C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,Unspecified,,,,10,IC50,>,10000,nM,
