PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103163840,3715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,Active,,,,0.9,IC50,=,900,nM,
2,103180450,72303,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C,Active,,,,1.8,IC50,=,1800,nM,
3,103296460,155160,COC1=C(C=C(C=C1)C2=C(C=CC(=C2)CC=C)O)CC=C,Active,,,,0.1,IC50,=,100,nM,
4,103296577,325144,COC1=C(C=C(C=C1)C2=C(C=CC(=C2)CC=C)OC)CC=C,Unspecified,,,,11.4,IC50,=,11400,nM,
5,103296629,9900113,CCCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CCC,Active,,,,0.8,IC50,=,800,nM,
6,103681285,45267389,CCCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)OC)CCC,Active,,,,7.7,IC50,=,7700,nM,
7,103681286,45267390,CCCC1=CC(=C(C=C1)OC)C2=CC(=C(C=C2)OC)CCC,Unspecified,,,,20,IC50,>,20000,nM,
8,103686496,45269977,CC(=O)OC1=C(C=C(C=C1)CC=C)C2=CC(=C(C=C2)OC)CC=C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
9,103686497,45269978,CC(=O)OC1=C(C=C(C=C1)C2=C(C=CC(=C2)CC=C)OC(=O)C)CC=C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
10,103689958,44241602,C/C=C/C1=C(C=CC(=C1)C2=C(C=CC(=C2)CC=C)O)OC,Active,,,,0.7,IC50,=,700,nM,
11,103689973,44241601,C/C=C/C1=C(C=CC(=C1)C2=C(C=CC(=C2)CC=C)O)O,Active,,,,0.6,IC50,=,600,nM,
12,103693559,45273399,C/C=C\C1=C(C=CC(=C1)C2=C(C=CC(=C2)CC=C)O)OC,Active,,,,2.8,IC50,=,2800,nM,
13,103693560,25116939,C1C(O1)CC2=CC(=C(C=C2)O)C3=CC(=C(C=C3)O)CC4CO4,Inactive,,,Potential missing data,,IC50,,,,Not Active
