PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,440109954,155510634,CC1=CC(=NN1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=C(N(N=C4C)C)C(=O)N,Active,,,,0.008,fIC50,=,8,nM,
2,440123574,155519668,CC1=CC(=NN1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=CN(N=C4)CC(=O)N,Active,,,,0.487,fIC50,=,487,nM,
3,440124254,122678189,CC1=CC(=NN1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=C(NN=C4C(=O)N)C,Active,,,,0.096,fIC50,=,96,nM,
4,440127615,122678088,CC1=CC(=NN1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=CN(N=C4C(=O)N)C,Active,,,,0.022,fIC50,=,22,nM,
5,440140248,122678138,CC1=CC(=NN1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=C(N(N=C4)C)C(=O)N,Active,,,,0.013,fIC50,=,13,nM,
6,440150359,155537060,CC1=CC(=NN1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=C(N(N=C4)C)C(=O)NO,Inconclusive,,,Potential missing data,,fIC50,,,,Not Determined
7,440150382,122678192,CC1=CC(=NN1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=C(N(N=C4)C)S(=O)(=O)N,Active,,,,0.0065,fIC50,=,6.5,nM,
8,440164102,122678183,CCN1C(=C(C=N1)NC(=O)[C@@H]2CCCC[C@H]2C(=O)C3=CC=C(C=C3)C4=NNC(=C4)C)C(=O)N,Active,,,,0.016,fIC50,=,16,nM,
9,440168199,155545031,CC1=CC(=NN1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=CN(N=C4C)C,Active,,,,0.0074,fIC50,=,7.4,nM,
10,440184126,122678117,CC1=CC(=NN1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=C5C(=O)NCCN5N=C4,Active,,,,0.002,fIC50,=,2,nM,
11,440204156,155559364,CC1=CC(=NN1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=C(N(N=C4)C)C(=O)NOC(C)(C)C,Active,,,,0.0016,fIC50,=,1.6,nM,
12,440207085,155560536,CC1=CC(=NN1)C2=CC=C(C=C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4=C(N(N=C4)C)C(=O)O,Active,,,,0.57,fIC50,=,570,nM,
