PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103163913,176155,CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,0.042,IC50,=,42,nM,
2,103176292,9885504,C1COCCN1CCCN2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,0.12,IC50,=,120,nM,
3,103259750,667570,C1=CC(=CC=C1C2=C(NC=N2)C3=CC=NC=C3)F,Active,,,,0.21,IC50,=,210,nM,
4,103303420,5228,C1CSC2=NC(=C(N21)C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,0.4,IC50,=,400,nM,
5,103306381,5171,C1CC1CN2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,0.09,IC50,=,90,nM,
6,103324106,10571824,CC1=NC=CC(=C1)C2=C(N=CN2CCCN3CCOCC3)C4=CC=C(C=C4)F,Active,,,,3.05,IC50,=,3050,nM,
