PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,404700816,145982457,C1CN(CCC1CCNC(=O)C2=CC(=O)C3=C(O2)C=CC(=C3)[N+](=O)[O-])CC4=CC=CC=C4,Active,,,,0.012,Ki,=,12,nM
2,404707921,145987407,C1CN(CCC1CCNC(=O)C2=CC(=O)C3=C(O2)C=CC(=C3)N)CC4=CC=CC=C4,Active,,,,0.062,Ki,=,62,nM
3,404710109,145988798,COC1=C(C=C2C(=C1)C(=O)C=C(N2)C(=O)NCCC3CCN(CC3)CC4=CC=CC=C4)OC,Active,,,,0.06,Ki,=,60,nM
4,404711897,145989956,COC1=C(C=C2C(=C1)C(=O)C=C(O2)C(=O)OCCC3CCN(CC3)CC4=CC=CC=C4)OC,Active,,,,0.011,Ki,=,11,nM
5,404713200,145990784,C1CN(CCC1CCCNC(=O)C2=CC(=O)C3=C(O2)C=CC(=C3)O)CC4=CC=CC=C4,Active,,,,0.011,Ki,=,11,nM
6,404716229,145992723,COC1=C(C=C2C(=C1)C(=O)C=C(O2)C(=O)NCCC3CCN(CC3)CC4=CC=CC=C4)OC,Active,,,,0.039,Ki,=,39,nM
7,404716840,145993120,C1CN(CCC1CCNC(=O)C2=CC(=O)C3=CC=CC=C3O2)CC4=CC=CC=C4,Active,,,,0.057,Ki,=,57,nM
8,404717456,145993498,COC1=C(C=C2C(=C1)C(=O)C=C(O2)C(=O)NCCCC3CCN(CC3)CC4=CC=CC=C4)OC,Active,,,,0.021,Ki,=,21,nM
