PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103181002,2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,Active,,,,0.12,IC50,=,120,nM
2,103608987,44570751,CS(=O)(=O)C1=CC=CC=C1C#CC2=CN(C(=O)C=C2)C(F)F,Active,,,,9.4,IC50,=,9400,nM
3,103608988,44570752,CS(=O)(=O)C1=CC=CC(=C1)C#CC2=CN(C(=O)C=C2)C(F)F,Active,,,,3.7,IC50,=,3700,nM
4,103609048,44570789,CS(=O)(=O)C1=CC=C(C=C1)C#CC2=CN(C(=O)C=C2)C(F)F,Active,,,,5.1,IC50,=,5100,nM
5,103609049,44570790,C1=CC(=CC=C1C#CC2=CN(C(=O)C=C2)C(F)F)S(=O)(=O)N,Active,,,,6,IC50,=,6000,nM
