PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,163323424,71454753,CC1=C(C2=C(CC[C@@](O2)(C)CCCC(C)CCCC(C)CCCC(C)C(=O)O)C(=C1O)C)C,Active,,,,0.08,IC50,=,80,nM,
2,194172962,73603963,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)O,Active,,,,0.43,IC50,=,430,nM,
3,194179829,73603969,CC1=C(C=C2CC[C@@](OC2=C1C)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)O,Active,,,,0.05,IC50,=,50,nM,
4,440139649,10455173,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C(=O)O)O,Active,,,,0.35,IC50,=,350,nM,
5,461524290,162649877,CC1=CC(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C(=O)O)C)O,Active,,,,0.31,IC50,=,310,nM,
6,461539763,162660777,CC1=C(C2=C(CC[C@@](O2)(C)CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C(=O)O)C(=C1O)C)C,Active,,,,0.56,IC50,=,560,nM,
7,469799292,164609391,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C/C(=O)O)O,Unspecified,,,,3,IC50,>,3000,nM,
8,469799970,164609879,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC(=O)O)O,Active,,,,2.19,IC50,=,2190,nM,
9,469799989,164609893,CC1=C(C=C2CC[C@@](OC2=C1C)(C)CC/C=C(\C)/CC/C=C(\C)/CC/C=C(/C)\C(=O)O)O,Active,,,,0.63,IC50,=,630,nM,
10,469801512,164610999,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CCC=C(CO)CO)O,Active,,,,2.3,IC50,=,2300,nM,
11,469802056,164611393,CC1=CC(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)C=O)O,Active,,,,1.81,IC50,=,1810,nM,
12,469802990,126648083,CC1=C(C2=C(CC[C@@](O2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)C(=C1O)C)C,Active,,,,0.04,IC50,=,40,nM,
13,469803202,164612221,CC1=CC(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)CN3CCCC3)O,Active,,,,1.9,IC50,=,1900,nM,
14,469803277,164612278,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCCC(C)C(=O)O)O,Active,,,,0.61,IC50,=,610,nM,
15,469803831,164612696,CC1=CC2=C(C=C(C(=O)O2)C(=O)C)C3=C1O[C@](CC3)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO,Active,,,,1.44,IC50,=,1440,nM,
16,469803904,164612744,CC1=CC(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCCC(C)C(=O)O)C)O,Active,,,,0.81,IC50,=,810,nM,
17,469804409,164613112,CC1=C2C(=C(C3=C1CC[C@@](O3)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)C)C=C(C(=O)O2)C(=O)C,Active,,,,1.25,IC50,=,1250,nM,
18,469805149,164613624,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CC/C=C/C(=O)O)O,Active,,,,2.2,IC50,=,2200,nM,
19,469805516,164613885,CC1=C2CC[C@@](OC2=C(C(=C1O)CO)C)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C3COC(OC3)C4=CC(=C(C=C4)OC)OC,Active,,,,0.39,IC50,=,390,nM,
20,469805898,164614143,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)OC(=O)CCC(=O)O,Active,,,,0.45,IC50,=,450,nM,
21,469806533,164614599,CC1=C(C(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C(=O)O)CN(C)C)O)CN(C)C,Unspecified,,,,3,IC50,>,3000,nM,
22,469808160,164615788,CC1=CC(=CC2=C1O[C@](CC2)(C)CCCC(C)CCCC(C)CCCC(C)C(=O)O)O,Active,,,,2.01,IC50,=,2010,nM,
23,469809124,164616480,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C3COC(OC3)C4=CC(=C(C=C4)OC)OC)O,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
24,469810550,53481452,CC1=C(C2=C(CC[C@@](O2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC(=O)O)C(=C1O)C)C,Active,,,,0.45,IC50,=,450,nM,
25,469811165,164617967,CC1=C2CC[C@@](OC2=C(C(=C1O)C=O)C)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C3COC(OC3)C4=CC(=C(C=C4)OC)OC,Unspecified,,,,3,IC50,>,3000,nM,
26,469811943,164618529,CC1=CC(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(CO)CO)CN3CCOCC3)O,Active,,,,1.74,IC50,=,1740,nM,
27,469812402,164618866,CC1=CC(=C(C2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C(=O)OC)C(=O)OC)O,Unspecified,,,,3,IC50,>,3000,nM,
