PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103167143,4534,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,Active,,,,2,IC50,=,2000,nM,
2,103212462,56237,CC(=O)OC1=C(C(=C(C2=C1C=CC(=C2)Cl)OC(=O)C)OC)OC,Unspecified,,,,50,IC50,>,50000,nM,
3,103224695,10247820,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCCCC4=CC=CC=C4,Unspecified,,,,112,IC50,=,112000,nM,Outside typical range
4,103224732,10247342,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=C(C=C4)Cl,Unspecified,,,,150,IC50,=,150000,nM,Outside typical range
5,103224738,10020384,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCCC4=CC=CC=C4,Unspecified,,,,67,IC50,=,67000,nM,
