PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103266319,3957,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,Active,,,,0.414,Ki,=,414,nM
2,103266652,2678,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,Active,,,,0.014,Ki,=,14,nM
3,103341726,124087,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,Active,,,,0.00097,Ki,=,0.97,nM
4,103443180,9850828,C1CN(CCN1CCCCOC2=CC=C(C=C2)C#CCCN(C(=O)N)O)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,Active,,,,0.026,Ki,=,26,nM
5,103452824,9958732,C1CN(CCN1CCOC2=CC=C(C=C2)C#CCCN(C(=O)N)O)[C@H](C3=CC=CC=C3)C4=CC=C(C=C4)Cl,Active,,,,0.305,Ki,=,305,nM
6,103452872,44395497,C1CN(CCN1CCCCOC2=CC=C(C=C2)C#CCCN(C(=O)N)O)[C@H](C3=CC=CC=C3)C4=CC=C(C=C4)Cl,Active,,,,0.03,Ki,=,30,nM
7,103452917,23381046,C1CN(CCN1CCCOC2=CC=C(C=C2)C#CCCN(C(=O)N)O)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,Active,,,,0.109,Ki,=,109,nM
8,103452919,44395530,C1CN(CCN1CCCOC2=CC=C(C=C2)C#CCCN(C(=O)N)O)[C@H](C3=CC=CC=C3)C4=CC=C(C=C4)Cl,Active,,,,0.009,Ki,=,9,nM
9,103452967,10347051,C1CN(CCN1CCOC2=CC=C(C=C2)C#CCCN(C(=O)N)O)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,Active,,,,0.295,Ki,=,295,nM
10,103452980,9872445,C1CC2=C(C=CC(=C2)Cl)C(=C3CCN(CC3)CCOC4=CC=C(C=C4)C#CCCN(C(=O)N)O)C5=C1C=CC=N5,Active,,,,0.019,Ki,=,19,nM
11,103453077,12992627,C1CC2=C(C=CC(=C2)Cl)C(=C3CCN(CC3)CCCOC4=CC=C(C=C4)C#CCCN(C(=O)N)O)C5=C1C=CC=N5,Active,,,,0.014,Ki,=,14,nM
12,103453078,12992629,C1CC2=C(C=CC(=C2)Cl)C(=C3CCN(CC3)CCCCOC4=CC=C(C=C4)C#CCCN(C(=O)N)O)C5=C1C=CC=N5,Active,,,,0.05,Ki,=,50,nM
