PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103167027,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,Active,,,,3,IC50,=,3000,nM,
2,103168531,439533,C1=CC(=C(C=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
3,103489401,5281654,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
4,103517020,3861394,CCCOC1=C(C2=C(CCC(C2)C(C)C(=O)NC3=NC=CS3)C(=C1)C)C,Active,,,,0.8,IC50,=,800,nM,
5,103517081,11866208,C[C@H]1[C@@H]2CC[C@]3(CC4=C([C@H]([C@@H]3[C@H]2OC1=O)C)N=C(S4)NC(=O)C5=CC(=C(C(=C5)OC)OC)OC)C,Active,,,,0.9,IC50,=,900,nM,
6,103517082,3684697,CC1C2CCC3(CC4=C(C(C3C2OC1=O)C)N=C(S4)NC(=O)C5=CC6=C(C=C5)OCO6)C,Active,,,,2,IC50,=,2000,nM,
7,103517084,4665555,CC1C2CCC3(CC4=C(C(C3C2OC1=O)C)N=C(S4)NC(=O)CC5=CC=CC=C5OC)C,Active,,,,4,IC50,=,4000,nM,
8,103517085,3692652,CC1C2CCC3(CC4=C(C(C3C2OC1=O)C)N=C(S4)NC(=O)C5=CC=C(C=C5)OC)C,Active,,,,6,IC50,=,6000,nM,
9,103517087,3684695,CC1C2CCC3(CC4=C(C(C3C2OC1=O)C)N=C(S4)NC(=O)C5CCCC5)C,Active,,,,8,IC50,=,8000,nM,
10,103517089,44423252,CC1C2CCC3(CC4=C(C(C3C2OC1=O)C)N=C(S4)NC(=O)C5=C(N=NS5)C)C,Active,,,,10,IC50,=,10000,nM,
11,103517091,3684699,CC1C2CCC3(CC4=C(C(C3C2OC1=O)C)N=C(S4)NC(=O)NCC5=CC=CC=C5)C,Active,,,,3,IC50,=,3000,nM,
12,103517093,3667020,CC1C2CCC3(CC4=C(C(C3C2OC1=O)C)N=C(S4)NC(=O)NC5=CC(=CC=C5)SC)C,Active,,,,4,IC50,=,4000,nM,
13,103517095,3684700,CC1C2CCC3(CC4=C(C(C3C2OC1=O)C)N=C(S4)NC(=O)NC5=C(C=C(C=C5)F)F)C,Active,,,,7,IC50,=,7000,nM,
14,103517098,3765426,CC1=CC(=C(C2=C1CCC(C2)C(C)C(=O)NC3=CC=CC=N3)C)OC,Active,,,,5,IC50,=,5000,nM,
15,103517100,3385224,CC1=CC(=C(C2=C1CCC(C2)C(C)C(=O)NCC3=CC=CS3)C)OC,Active,,,,8,IC50,=,8000,nM,
16,103517102,44423253,CC1=CC(=C(C2=C1CCC(C2)C(C)C(=O)NC(C)(C)C)C)OC,Unspecified,,,,10,IC50,>,10000,nM,
17,103517103,44423254,CC1=CC(=C(C2=C1CCC(C2)C(C)C(=O)NCC3=CC=CO3)C)OC,Unspecified,,,,10,IC50,>,10000,nM,
18,103517106,3735492,CC1=CC(=C(C2=C1CCC(C2)C(C)C(=O)NC3=NC=CS3)C)OCCN(C)C,Unspecified,,,,10,IC50,>,10000,nM,
19,103517108,44423258,CC1=CC(=C(C2=C1CCC(C2)C(C)C(=O)NC3CCCC3)C)OCCOC,Unspecified,,,,10,IC50,>,10000,nM,
20,103517116,11866382,C[C@H]1[C@@H]2CC[C@]3(CC4=C([C@H]([C@@H]3[C@H]2OC1=O)C)N=C(S4)CSC5=CC=CC=C5)C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
21,103517117,5281699,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
22,103517118,7051563,CCCOC1=C(C2=C(CC[C@H](C2)[C@H](C)C(=O)NCC3=CN=CC=C3)C(=C1)C)C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
23,103517119,7135440,CC1=CC(=C(C2=C1CC[C@H](C2)[C@H](C)C(=O)NCC3=CC=C(C=C3)OC)C)OCCOC,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
24,103517120,44423259,C[C@H]1[C@@H]2[C@H](C(CC[C@]2(CC3=C1N=C(S3)NC(=O)C4=CC5=C(C=C4)OCO5)C)[C@H](C)C(=O)N6CCN(CC6)C)O,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
25,103517121,7135452,CCCOC1=C(C2=C(CC[C@H](C2)[C@H](C)C(=O)NCC3=CC=C(C=C3)OC)C(=C1)C)C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
26,103517122,44423260,C[C@H]1[C@@H]2CC[C@]3(CC4=C([C@H]([C@@H]3[C@H]2OC1=O)C)N=C(S4)C5=CC=CC=C5)C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
27,103517123,44423261,CC1=CC(=C(C2=C1CC[C@H](C2)[C@H](C)C(=O)NCC3=CC=C(C=C3)OC)C)OCCN(C)C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
28,103517124,24066823,C[C@H]1[C@@H]2[C@H](C(CC[C@]2(CC3=C1N=C(S3)NC(=O)C4=CC=NC=C4)C)[C@H](C)C(=O)N5CCSCC5)O,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
29,103517125,23815263,CC1=CC(=C(C2=C1CCC([C@H]2O)[C@H](C)C(=O)NCCN3CCOCC3)C)OCC4=CN=CC=C4,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
30,103517126,11322609,COC1=CC(=O)O[C@H]([C@@H]1O)CCC2=CC=CC=C2,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
