PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103163840,3715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,Unspecified,,,,11.36,IC50,=,11360,nM,
2,103167027,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
3,103181002,2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,Active,,,,1.54,IC50,=,1540,nM,
4,242608196,6858802,C1=CC=C(C=C1)CN2C=C(C3=CC=CC=C32)/C=N/N4C=NN=C4,Active,,,,2.01,IC50,=,2010,nM,
5,461514412,162642933,CC1=CC=C(C=C1)C(=O)N2C=C(C3=CC=CC=C32)/C=N/N4C=NN=C4,Active,,,,0.98,IC50,=,980,nM,
6,461516289,162644243,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N=CC3=CN(C4=CC=CC=C43)C(=O)C5=CC=C(C=C5)Cl,Active,,,,1.74,IC50,=,1740,nM,
7,461516514,162644404,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N=CC3=CN(C4=CC=CC=C43)C(=O)C5=CC=CC=C5,Active,,,,1.06,IC50,=,1060,nM,
8,461523776,1250444,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N=CC3=CN(C4=CC=CC=C43)CC5=CC=CC=C5,Active,,,,2.61,IC50,=,2610,nM,
9,461539182,162660367,C1=CC=C2C(=C1)C(=CN2C(=O)C3=CC=C(C=C3)Cl)/C=N/N4C=NN=C4,Active,,,,1.23,IC50,=,1230,nM,
10,461548292,162666699,C1=CC=C(C=C1)C(=O)N2C=C(C3=CC=CC=C32)/C=N/N4C=NN=C4,Active,,,,2.19,IC50,=,2190,nM,
11,461556386,162672410,CC1=CC=C(C=C1)C(=O)N2C=C(C3=CC=CC=C32)C=NC4=C(N(N(C4=O)C5=CC=CC=C5)C)C,Active,,,,2.23,IC50,=,2230,nM,
