PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,164132015,49804576,CCCCCCC1=CC2=CC=CC=C2N1C(=O)CCCC(=O)O,Active,,,,1.13,IC50,=,1130,nM,
2,164137681,14164519,C1=CC=C2C(=C1)C=CN2C(=O)CCCC(=O)O,Unspecified,,,,30,IC50,>,30000,nM,
3,164143264,49804582,CCCCCCC1=CN(C2=CC=CC=C21)C(=O)CCCC(=O)O,Active,,,Potential missing data,,Inhibition,,,%,Active
4,164146011,49800564,CCCCCCC1=CC2=C(C=C1)N(C=C2)C(=O)CCCC(=O)O,Active,,,Potential missing data,,Inhibition,,,%,Active
5,164146012,49800839,CCCCCCC1=CC2=C(C=C1)C=CN2C(=O)CCCC(=O)O,Active,,,Potential missing data,,Inhibition,,,%,Active
6,164146013,49800562,CCCCCCC1=CC=CC2=C1N(C=C2)C(=O)CCCC(=O)O,Active,,,Potential missing data,,Inhibition,,,%,Active
7,194139926,49800843,CCCCCCC1=CC2=CC=CC=C2N1C(=O)CC3(CC3)CC(=O)O,Active,,,,1.63,IC50,=,1630,nM,
8,194139927,68036050,CCCCCCCCC/C=C\C1=CC2=CC=CC=C2N1C(=O)CCCC(=O)O,Active,,,,0.55,IC50,=,550,nM,
9,194146797,68751567,CCCCCCC1=CC2=CC=CC=C2N1C(=O)CCC(=O)O,Unspecified,,,,30,IC50,>,30000,nM,
10,194146798,49801419,CCCCCCC1=C(C2=C(N1C)C=CC(=C2)Cl)C(=O)CCCC(=O)O,Active,,,,0.566,IC50,=,566,nM,
11,194146799,49804581,CCCCCCC1=C(C2=CC=CC=C2N1C)C(=O)CC(C)CC(=O)O,Active,,,,0.314,IC50,=,314,nM,
12,194146800,49800561,CCCCC1=CC2=CC=CC=C2N1C(=O)CCCC(=O)O,Unspecified,,,,13.7,IC50,=,13700,nM,
13,194146801,49800841,CCCCCCCC1=CC2=CC=CC=C2N1C(=O)CCCC(=O)O,Active,,,,0.75,IC50,=,750,nM,
14,194153642,49802029,CCCCCCC1=CC2=C(N1C(=O)CC(C)CC(=O)O)C=C(C=C2)Cl,Active,,,,2.175,IC50,=,2175,nM,
15,194153642,49802029,CCCCCCC1=CC2=C(N1C(=O)CC(C)CC(=O)O)C=C(C=C2)Cl,Active,,,,0.007,IC50,=,7,nM,
16,194153642,49802029,CCCCCCC1=CC2=C(N1C(=O)CC(C)CC(=O)O)C=C(C=C2)Cl,Active,,,,0.028,IC50,=,28,nM,
17,194153643,49804583,CCCCCCN1C=C(C2=CC=CC=C21)C(=O)CCCC(=O)O,Active,,,Potential missing data,,Inhibition,,,%,Active
18,194153644,76317856,CCCCCCC1=C(C2=C(N1C)C=CC(=C2)Br)C(=O)CC(C)CC(=O)O,Active,,,,0.026,IC50,=,26,nM,
19,194160626,49802589,CCCCCCC1=C(C2=C(N1C)C=C(C=C2)Cl)C(=O)CC(C)CC(=O)O,Active,,,,0.081,IC50,=,81,nM,
20,194160627,49800560,CCCCCCCCC1=CC2=CC=CC=C2N1C(=O)CCCC(=O)O,Active,,,,0.57,IC50,=,570,nM,
21,194167531,66644128,CCCCCCC1=C(C2=C(N1C)C=CC(=C2)Cl)C(=O)CC(C)CC(=O)O,Active,,,,2.73,IC50,=,2730,nM,
22,194167531,66644128,CCCCCCC1=C(C2=C(N1C)C=CC(=C2)Cl)C(=O)CC(C)CC(=O)O,Active,,,,0.006,IC50,=,6,nM,
23,194167531,66644128,CCCCCCC1=C(C2=C(N1C)C=CC(=C2)Cl)C(=O)CC(C)CC(=O)O,Active,,,,0.028,IC50,=,28,nM,
24,194174369,49804577,CCCCCCC1=CC2=CC=CC=C2N1C(=O)CC(C)CC(=O)O,Active,,,,0.09,IC50,=,90,nM,
25,194174370,76328737,CCCCCCC1=CC2=C(N1C(=O)CC(C)CC(=O)O)C=C(C=C2)Br,Active,,,,0.03,IC50,=,30,nM,
26,194181247,49802030,CCCCCCC1=NC2=CC=CC=C2C=C1C(=O)CCCC(=O)O,Unspecified,,,,30,IC50,>,30000,nM,
27,194181248,66644017,CCCCCCC1=CC2=C(N1C(=O)CC(C)CC(=O)O)C=CC(=C2)Cl,Active,,,,0.141,IC50,=,141,nM,
28,194181249,76332419,CCCCCCC1=CC2=C(N1C(=O)CC(C)CC(=O)O)C=C(C=C2)OC,Active,,,,0.323,IC50,=,323,nM,
29,194181250,66644000,CCCCCCC1=C(C2=CC=CC=C2N1)C(=O)CCCC(=O)O,Active,,,,9.75,IC50,=,9750,nM,
30,194181250,66644000,CCCCCCC1=C(C2=CC=CC=C2N1)C(=O)CCCC(=O)O,Unspecified,,,,,Inhibition,=,50,%,
31,194181251,49804580,CCCCCCC1=C(C2=CC=CC=C2N1C)C(=O)CCCC(=O)O,Active,,,,6.06,IC50,=,6060,nM,
32,194181252,49800284,CCCCCC1=CC2=CC=CC=C2N1C(=O)CCCC(=O)O,Active,,,,2.15,IC50,=,2150,nM,
33,194188116,49800286,CCCCCCC1=CC2=CC=CC=C2N1C(=O)CC(C)(C)CC(=O)O,Unspecified,,,,11,IC50,=,11000,nM,
34,194188117,76336045,CCCCCCC1=C(C2=CC=CC=C2N1C(=O)CC(C)CC(=O)O)C,Active,,,,0.136,IC50,=,136,nM,
35,194188118,76336046,CCCCCCC1=CC2=C(N1C(=O)CC(C)CC(=O)O)C=CC(=C2)Br,Active,,,,0.638,IC50,=,638,nM,
36,194188119,66644266,CCCC/C=C/C1=CC2=CC=CC=C2N1C(=O)CCCC(=O)O,Active,,,,4.03,IC50,=,4030,nM,
37,194188120,49800558,CCCCCCCCCCCC1=CC2=CC=CC=C2N1C(=O)CCCC(=O)O,Active,,,,0.7,IC50,=,700,nM,
