PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103492730,11530031,CCOC(=O)C1=C(NC2=C1C=C(C=C2)O)NC3=CC(=CC=C3)Cl,Active,,,,0.3,IC50,=,300,nM
2,103492767,11530690,CCOC(=O)C1=C(NC2=C1C=C(C=C2)O)N3CCN(CC3)C4=CC=CC=C4,Active,,,,3.1,IC50,=,3100,nM
3,103492807,11596459,CCOC(=O)C1=C(NC2=C1C=C(C=C2)O)N3CCN(CC3)C4=CC=C(C=C4)Cl,Active,,,,2.3,IC50,=,2300,nM
4,103492832,11500329,CCOC(=O)C1=C(NC2=C1C=C(C=C2)O)NC3=CC=CC=C3,Active,,,,2.3,IC50,=,2300,nM
5,103492833,11602022,CCOC(=O)C1=C(NC2=C1C=C(C=C2)O)NC3=CC=C(C=C3)C,Active,,,,5,IC50,=,5000,nM
6,103492834,11674232,CCOC(=O)C1=C(NC2=C1C=C(C=C2)O)NC(C)C3=CC=CC=C3,Active,,,,3,IC50,=,3000,nM
7,103492835,11645226,CCOC(=O)C1=C(NC2=CC=CC=C21)NC(C)C3=CC=CC=C3,Active,,,,9.8,IC50,=,9800,nM
8,103492876,11500409,CCOC(=O)C1=C(NC2=C1C=C(C=C2)O)N(CC=C)CC=C,Active,,,,7.1,IC50,=,7100,nM
9,103493103,11637678,CC(C1=CC=CC=C1)NC2=C(C3=C(N2)C=CC(=C3)O)C#N,Active,,,,10,IC50,=,10000,nM
