PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103212462,56237,CC(=O)OC1=C(C(=C(C2=C1C=CC(=C2)Cl)OC(=O)C)OC)OC,Active,,,,3.2,IC50,=,3200,nM
2,103224668,10407052,COC1=CC=C(C=C1)CCCC2=C(C3=C(CC4=C(C3=O)C(=CC=C4)O)C=C2)O,Unspecified,,,,5,IC50,>,5000,nM
3,103224734,10091406,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=C(C=C4)C(F)(F)F,Unspecified,,,,5,IC50,>,5000,nM
4,103224738,10020384,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCCC4=CC=CC=C4,Unspecified,,,,5,IC50,>,5000,nM
5,103224755,10338556,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=CC=C4C(=O)O,Unspecified,,,,5,IC50,>,5000,nM
6,103224936,10384891,COC1=CC(=C(C=C1)OC)CC2=CC3=C(C(=C2)O)C(=O)C4=C(C3)C=CC=C4O,Active,,,,0.2,IC50,=,200,nM
7,103224974,11724159,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)C(=O)C4=CC=CC=C4,Active,,,,1.6,IC50,=,1600,nM
8,103224984,10020643,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=C(C=CC(=C4)O)O,Active,,,,0.7,IC50,=,700,nM
9,103225088,2202,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,Active,,,,0.2,IC50,=,200,nM
10,103225090,10048548,COC1=CC(=CC(=C1OC)OC)CCCC2=C(C3=C(CC4=C(C3=O)C(=CC=C4)O)C=C2)O,Active,,,,2,IC50,=,2000,nM
11,103225122,10043326,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=C(C=C(C=C4)O)O,Active,,,,1.5,IC50,=,1500,nM
12,103225361,10044052,COC1=CC=C(C=C1)C(=O)C2=CC3=C(C(=C2)O)C(=O)C4=C(C3)C=CC=C4O,Active,,,,1.7,IC50,=,1700,nM
13,103225383,10043325,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=C(C=C3O)CC4=CC(=C(C=C4)O)O,Active,,,,0.5,IC50,=,500,nM
14,103225402,10020641,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=C(C=C3O)CC4=C(C=CC(=C4)O)O,Active,,,,0.4,IC50,=,400,nM
15,103225420,10248938,COC1=CC(=C(C=C1)CC2=CC3=C(C(=C2)O)C(=O)C4=C(C3)C=CC=C4O)OC,Active,,,,0.4,IC50,=,400,nM
16,103225421,10088123,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=C(C=C3O)CC4=CC=C(C=C4)O,Active,,,,0.4,IC50,=,400,nM
17,103225498,10337793,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=C(C=C3O)CC4=C(C=C(C=C4)O)O,Active,,,,0.5,IC50,=,500,nM
18,103225523,10335901,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=CC=C4,Unspecified,,,,5,IC50,>,5000,nM
19,103225525,10449418,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=CC=C4O,Active,,,,0.7,IC50,=,700,nM
20,103225526,11740241,COC1=CC(=C(C=C1)CC2=C(C3=C(CC4=C(C3=O)C(=CC=C4)O)C=C2)O)OC,Unspecified,,,,5,IC50,>,5000,nM
21,103225791,10337672,COC1=CC=C(C=C1)CC2=CC3=C(C(=C2)O)C(=O)C4=C(C3)C=CC=C4O,Active,,,,0.3,IC50,=,300,nM
22,103225811,10428583,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=C(C=C4)C(=O)O,Active,,,,2.6,IC50,=,2600,nM
23,103226144,10042373,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC=C(C=C4)O,Active,,,,0.8,IC50,=,800,nM
24,103226145,9865299,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCCC4=CC(=C(C(=C4)O)O)O,Active,,,,0.5,IC50,=,500,nM
25,103226146,10451147,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CCCC4=CC=C(C=C4)O,Active,,,,0.4,IC50,=,400,nM
26,103226191,10020642,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC(=C3O)CC4=CC(=C(C=C4)O)O,Active,,,,0.4,IC50,=,400,nM
