PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103180027,60923,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=NC4=CC=CC=C4C=C3)CC5=CC=C(C=C5)Cl)CC(C)(C)C(=O)O,Active,,,,0.0016,IC50,=,1.6,nM
2,103202029,3651377,CC(C)C1=CC2=C(C=C1)N(C(=C2SC(C)(C)C)CC(C)(C)C(=O)O)CC3=CC=C(C=C3)Cl,Active,,,,0.023,IC50,=,23,nM
3,103379772,10746661,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CSC5=CC=CC=C5C(=O)O)S1)OCC6=CC7=CC=CC=C7C=N6,Active,,,,2.9,IC50,=,2900,nM
4,103380029,10507589,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CSC5=CC=CC=C5C(=O)O)S1)OCC6=CC=CC=N6,Active,,,,0.76,IC50,=,760,nM
5,103380320,10794157,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CSC5=CC=CC=C5C(=O)O)S1)OCC6=NC7=CC=CC=C7C=C6,Active,,,,0.072,IC50,=,72,nM
6,103380321,10770349,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)COC5=CC=CC=C5CC(=O)O)S1)OCC6=NC7=CC=CC=C7C=C6,Active,,,,0.032,IC50,=,32,nM
7,103380926,10722510,CC1CC2=C(C=CC3=C2C(=C(N3CC4=CC=C(C=C4)Cl)CSC5=CC=CC=C5C(=O)O)S1)OCC6=NC=C(C=C6)OC,Active,,,,0.37,IC50,=,370,nM
