PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103325107,10593999,C1=CC=C(C(=C1)O)SC2C3=C(C(=CC=C3)O)C(=O)C4=C2C=CC=C4O,Unspecified,,,,30,IC50,=,30000,nM
2,103325211,10736541,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2SC4=CC=C(C=C4)N)C=CC=C3O,Unspecified,,,,30,IC50,>,30000,nM
3,103325470,10830269,CC(C(=O)O)SC1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,Unspecified,,,,15,IC50,=,15000,nM
4,103325471,20067262,CCSC1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,Unspecified,,,,30,IC50,>,30000,nM
5,103325500,10736220,CCOC(=O)CSC1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,Unspecified,,,,30,IC50,>,30000,nM
6,103325502,10590337,CCCSC1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,Unspecified,,,,30,IC50,>,30000,nM
7,103325924,44336570,COC(=O)CCSC1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,Unspecified,,,,27,IC50,=,27000,nM
8,103325933,11725370,C1=CC=C(C(=C1)N)SC2C3=C(C(=CC=C3)O)C(=O)C4=C2C=CC=C4O,Active,,,,6,IC50,=,6000,nM
9,103325955,13600404,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2SCC(C(=O)O)N)C=CC=C3O,Unspecified,,,,30,IC50,=,30000,nM
10,103325956,20067256,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2SCC(=O)O)C=CC=C3O,Unspecified,,,,30,IC50,=,30000,nM
11,103325960,10784985,COC1=CC=C(C=C1)SC2C3=C(C(=CC=C3)O)C(=O)C4=C2C=CC=C4O,Unspecified,,,,30,IC50,=,30000,nM
12,103325981,10667872,CCCCOC(=O)CCSC1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,Unspecified,,,,30,IC50,=,30000,nM
13,103326030,10784984,COC1=CC=CC=C1SC2C3=C(C(=CC=C3)O)C(=O)C4=C2C=CC=C4O,Active,,,,3,IC50,=,3000,nM
14,103326031,13600407,C1=CC=C(C=C1)SC2C3=C(C(=CC=C3)O)C(=O)C4=C2C=CC=C4O,Unspecified,,,,30,IC50,=,30000,nM
15,103326032,10758992,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2SCCCS)C=CC=C3O,Unspecified,,,,30,IC50,=,30000,nM
16,103326085,10618761,COC1=CC(=CC=C1)SC2C3=C(C(=CC=C3)O)C(=O)C4=C2C=CC=C4O,Unspecified,,,,30,IC50,=,30000,nM
17,103326111,20067255,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2SCC(CO)O)C=CC=C3O,Unspecified,,,,30,IC50,>,30000,nM
18,103326147,10714564,C1=CC=C(C=C1)CCCSC2C3=C(C(=CC=C3)O)C(=O)C4=C2C=CC=C4O,Unspecified,,,,30,IC50,>,30000,nM
19,103326149,44336657,COC1=CC=C(C=C1)CSC2C3=C(C(=CC=C3)O)C(=O)C4=C2C=CC=C4O,Unspecified,,,,30,IC50,=,30000,nM
20,103326187,10594823,C1=CC=C(C=C1)CCSC2C3=C(C(=CC=C3)O)C(=O)C4=C2C=CC=C4O,Unspecified,,,,30,IC50,>,30000,nM
21,103326239,44336699,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2SCCC(=O)O)C=CC=C3O,Unspecified,,,,30,IC50,=,30000,nM
22,103326290,10523316,CCCCOC(=O)CSC1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,Unspecified,,,,30,IC50,=,30000,nM
23,103326293,20067261,COC(=O)CSC1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,Unspecified,,,,30,IC50,>,30000,nM
24,103326294,10808319,CCOC(=O)CCSC1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,Unspecified,,,,30,IC50,=,30000,nM
25,103326309,13600405,C1=CC=C(C=C1)CSC2C3=C(C(=CC=C3)O)C(=O)C4=C2C=CC=C4O,Unspecified,,,,30,IC50,=,30000,nM
26,103326311,9863229,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2SC4=CC=C(C=C4)O)C=CC=C3O,Active,,,,3,IC50,=,3000,nM
27,103326339,20067259,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2SCCO)C=CC=C3O,Unspecified,,,,30,IC50,>,30000,nM
